zoneID	money	freq
18001	750.0	3
18003	86050.0	142
18005	59192.0	97
18007	0	0
18009	0	0
18011	55179.0	97
18013	7400.0	13
18015	500.0	1
18017	2950.0	8
18019	29825.0	85
18021	500.0	2
18023	0	0
18025	0	0
18027	4309.0	8
18029	650.0	3
18031	5000.0	7
18033	2800.0	4
18035	26330.0	73
18037	7950.0	18
18039	14500.0	36
18041	2000.0	7
18043	18627.0	61
18045	4000.0	4
18047	0	0
18049	800.0	3
18051	4900.0	14
18053	3750.0	5
18055	5027.0	12
18057	196733.0	329
18059	15700.0	29
18061	9100.0	15
18063	11000.0	28
18065	3200.0	7
18067	32581.0	79
18069	1500.0	4
18071	45971.0	81
18073	1600.0	6
18075	3895.0	8
18077	3583.0	8
18079	500.0	2
18081	13750.0	31
18083	19552.0	62
18085	5700.0	10
18087	350.0	1
18089	140805.0	290
18091	13991.0	40
18093	6500.0	9
18095	78577.0	156
18097	836529.0	1550
18099	500.0	2
18101	7232.0	14
18103	1150.0	4
18105	88663.0	172
18107	1250.0	3
18109	7700.0	12
18111	0	0
18113	750.0	3
18115	0	0
18117	1200.0	4
18119	0	0
18121	0	0
18123	9150.0	22
18125	0	0
18127	38835.0	83
18129	3200.0	9
18131	700.0	3
18133	5500.0	6
18135	0	0
18137	7850.0	21
18139	2500.0	6
18141	98416.0	208
18143	3700.0	12
18145	4800.0	16
18147	1100.0	4
18149	1000.0	2
18151	0	0
18153	1400.0	6
18155	0	0
18157	15978.0	33
18159	1375.0	4
18161	0	0
18163	228570.0	485
18165	751.0	2
18167	36869.0	80
18169	750.0	3
18171	0	0
18173	70700.0	144
18175	0	0
18177	4100.0	14
18179	1245.0	2
18181	1000.0	1
18183	250.0	1
