zoneID	money	freq
20001	4850.0	11
20003	250.0	1
20005	16750.0	32
20007	500.0	1
20009	10902.0	30
20011	4400.0	9
20013	250.0	1
20015	12200.0	31
20017	0	0
20019	200.0	1
20021	2000.0	2
20023	0	0
20025	1000.0	1
20027	500.0	1
20029	2050.0	4
20031	1000.0	1
20033	500.0	1
20035	6450.0	11
20037	9305.0	19
20039	1000.0	4
20041	1450.0	3
20043	200.0	1
20045	69676.0	159
20047	0	0
20049	0	0
20051	48900.0	83
20053	4000.0	13
20055	5229.0	13
20057	19950.0	23
20059	4000.0	6
20061	13550.0	28
20063	0	0
20065	250.0	1
20067	1200.0	3
20069	3000.0	3
20071	250.0	1
20073	7400.0	12
20075	0	0
20077	500.0	1
20079	7500.0	8
20081	500.0	1
20083	0	0
20085	250.0	1
20087	2400.0	8
20089	0	0
20091	1066991.0	2131
20093	2450.0	4
20095	750.0	2
20097	0	0
20099	0	0
20101	750.0	2
20103	12600.0	23
20105	0	0
20107	1550.0	6
20109	0	0
20111	3900.0	11
20113	6300.0	15
20115	0	0
20117	3700.0	8
20119	400.0	2
20121	17174.0	39
20123	425.0	3
20125	2050.0	4
20127	250.0	1
20129	0	0
20131	300.0	1
20133	2000.0	2
20135	500.0	2
20137	1700.0	3
20139	3400.0	10
20141	240.0	1
20143	0	0
20145	1700.0	6
20147	1000.0	3
20149	2728.0	5
20151	3150.0	8
20153	1200.0	2
20155	18142.0	44
20157	2750.0	5
20159	1000.0	2
20161	25550.0	56
20163	2850.0	10
20165	950.0	3
20167	750.0	3
20169	39500.0	72
20171	1450.0	4
20173	399498.0	723
20175	18800.0	22
20177	123723.0	260
20179	0	0
20181	1750.0	3
20183	1250.0	5
20185	0	0
20187	500.0	2
20189	750.0	2
20191	11350.0	15
20193	1100.0	5
20195	950.0	4
20197	2950.0	7
20199	0	0
20201	3250.0	4
20203	0	0
20205	200.0	1
20207	5000.0	5
20209	11100.0	29
