zoneID	money	freq
21001	11225.0	26
21003	800.0	2
21005	4804.0	9
21007	1500.0	3
21009	11150.0	28
21011	10050.0	16
21013	8500.0	13
21015	88180.0	170
21017	5450.0	12
21019	21550.0	45
21021	8971.0	21
21023	4885.0	10
21025	2350.0	7
21027	1150.0	7
21029	3000.0	5
21031	475.0	7
21033	2500.0	5
21035	23100.0	52
21037	30350.0	70
21039	650.0	2
21041	750.0	2
21043	450.0	2
21045	0	0
21047	9710.0	20
21049	16400.0	27
21051	1500.0	4
21053	1000.0	2
21055	1000.0	1
21057	0	0
21059	26263.0	48
21061	2000.0	2
21063	0	0
21065	500.0	1
21067	380350.0	679
21069	4000.0	6
21071	4850.0	17
21073	42336.0	92
21075	1000.0	1
21077	1700.0	3
21079	650.0	3
21081	9750.0	16
21083	15700.0	35
21085	2000.0	5
21087	750.0	5
21089	1900.0	3
21091	2000.0	2
21093	16250.0	27
21095	250.0	1
21097	14500.0	24
21099	-300.0	3
21101	12850.0	32
21103	6650.0	16
21105	500.0	1
21107	9000.0	26
21109	1750.0	5
21111	464867.0	1534
21113	15700.0	24
21115	250.0	1
21117	115775.0	204
21119	10150.0	20
21121	3500.0	6
21123	2700.0	5
21125	11600.0	17
21127	1000.0	1
21129	1625.0	6
21131	1800.0	3
21133	2000.0	6
21135	500.0	2
21137	5500.0	12
21139	8200.0	12
21141	2900.0	7
21143	3350.0	7
21145	68225.0	113
21147	0	0
21149	200.0	1
21151	21100.0	56
21153	250.0	1
21155	1450.0	4
21157	119875.0	180
21159	250.0	1
21161	2900.0	9
21163	7650.0	13
21165	1000.0	1
21167	4450.0	10
21169	1500.0	4
21171	5950.0	9
21173	16950.0	26
21175	2700.0	4
21177	2775.0	11
21179	13150.0	20
21181	1250.0	4
21183	2050.0	8
21185	8000.0	27
21187	3250.0	9
21189	0	0
21191	0	0
21193	8500.0	17
21195	32500.0	52
21197	6800.0	22
21199	41450.0	57
21201	0	0
21203	4400.0	7
21205	2650.0	7
21207	5050.0	12
21209	9250.0	20
21211	4175.0	14
21213	44300.0	113
21215	1950.0	7
21217	8500.0	10
21219	0	0
21221	4450.0	11
21223	0	0
21225	5529.0	10
21227	52538.0	101
21229	8000.0	8
21231	5650.0	8
21233	2000.0	3
21235	15000.0	22
21237	250.0	1
21239	20200.0	31
