zoneID	money	freq
21001	1500.0	3
21003	2850.0	6
21005	13500.0	21
21007	500.0	1
21009	8975.0	22
21011	4700.0	6
21013	5200.0	12
21015	44308.0	99
21017	36900.0	61
21019	62633.0	80
21021	30850.0	59
21023	0	0
21025	4500.0	6
21027	1000.0	2
21029	9900.0	15
21031	2400.0	8
21033	8549.0	25
21035	44100.0	96
21037	51981.0	125
21039	500.0	1
21041	0	0
21043	250.0	1
21045	1250.0	2
21047	64682.0	159
21049	22675.0	55
21051	4550.0	7
21053	1000.0	1
21055	3500.0	10
21057	300.0	1
21059	68705.0	127
21061	1000.0	1
21063	0	0
21065	700.0	2
21067	560403.0	959
21069	250.0	1
21071	14450.0	21
21073	80816.0	141
21075	1500.0	5
21077	1300.0	3
21079	15025.0	41
21081	1000.0	1
21083	10050.0	18
21085	9850.0	19
21087	4400.0	10
21089	1750.0	5
21091	1150.0	3
21093	39225.0	78
21095	5000.0	10
21097	11505.0	21
21099	3750.0	4
21101	21250.0	40
21103	950.0	3
21105	0	0
21107	38750.0	80
21109	3000.0	4
21111	1324865.0	2173
21113	52100.0	88
21115	6500.0	9
21117	139047.0	291
21119	2500.0	3
21121	3750.0	6
21123	3200.0	5
21125	14900.0	24
21127	500.0	1
21129	4190.0	9
21131	250.0	1
21133	5400.0	8
21135	3000.0	4
21137	9500.0	14
21139	3000.0	5
21141	2300.0	7
21143	1800.0	3
21145	149125.0	257
21147	11000.0	11
21149	0	0
21151	33525.0	53
21153	3500.0	5
21155	0	0
21157	10900.0	26
21159	22000.0	29
21161	2000.0	2
21163	2900.0	5
21165	0	0
21167	3450.0	11
21169	2250.0	3
21171	19900.0	36
21173	26300.0	65
21175	0	0
21177	6450.0	22
21179	5200.0	15
21181	10050.0	19
21183	800.0	3
21185	52650.0	89
21187	250.0	1
21189	1000.0	1
21191	500.0	2
21193	28541.0	53
21195	53575.0	68
21197	500.0	2
21199	38050.0	61
21201	0	0
21203	1750.0	3
21205	6416.0	11
21207	12500.0	17
21209	19775.0	43
21211	13681.0	29
21213	250.0	1
21215	500.0	1
21217	7900.0	12
21219	2950.0	8
21221	7051.0	16
21223	0	0
21225	8150.0	16
21227	63000.0	112
21229	500.0	1
21231	1000.0	2
21233	700.0	3
21235	27875.0	46
21237	0	0
21239	60425.0	89
