zoneID	money	freq
27001	1300.0	7
27003	122375.0	295
27005	1300.0	5
27007	4150.0	10
27009	2000.0	6
27011	0	0
27013	35125.0	69
27015	11000.0	20
27017	5650.0	15
27019	50325.0	91
27021	3050.0	6
27023	500.0	2
27025	1960.0	7
27027	8650.0	16
27029	0	0
27031	2100.0	7
27033	0	0
27035	13325.0	22
27037	221360.0	510
27039	12300.0	16
27041	2200.0	5
27043	10200.0	15
27045	2000.0	4
27047	4749.0	14
27049	8300.0	21
27051	0	0
27053	2054314.0	3864
27055	14200.0	17
27057	750.0	3
27059	-350.0	3
27061	15300.0	47
27063	1650.0	4
27065	400.0	4
27067	23965.0	52
27069	0	0
27071	1875.0	9
27073	0	0
27075	750.0	2
27077	0	0
27079	2500.0	3
27081	500.0	2
27083	3950.0	7
27085	10450.0	34
27087	500.0	1
27089	200.0	1
27091	3400.0	8
27093	5750.0	13
27095	2175.0	5
27097	8250.0	12
27099	29200.0	59
27101	4900.0	7
27103	22700.0	59
27105	950.0	4
27107	0	0
27109	152599.0	294
27111	5475.0	13
27113	3200.0	6
27115	550.0	1
27117	0	0
27119	250.0	1
27121	1150.0	4
27123	478935.0	971
27125	0	0
27127	200.0	1
27129	1000.0	3
27131	4900.0	14
27133	3150.0	8
27135	5300.0	9
27137	38125.0	106
27139	34150.0	65
27141	5104.0	15
27143	500.0	2
27145	42500.0	106
27147	2850.0	10
27149	500.0	2
27151	1200.0	6
27153	981.0	4
27155	0	0
27157	7250.0	10
27159	325.0	3
27161	1350.0	5
27163	173764.0	346
27165	2000.0	3
27167	1250.0	3
27169	56285.0	90
27171	19101.0	36
27173	2200.0	7
