zoneID	money	freq
39001	500.0	2
39003	2000.0	6
39005	1000.0	3
39007	1000.0	1
39009	7792.0	17
39011	500.0	1
39013	8673.0	23
39015	1300.0	2
39017	19975.0	32
39019	0	0
39021	1000.0	1
39023	5900.0	16
39025	8350.0	15
39027	4200.0	7
39029	5210.0	11
39031	1150.0	3
39033	500.0	1
39035	799175.0	1415
39037	2000.0	4
39039	200.0	1
39041	35192.0	64
39043	18033.0	38
39045	3000.0	7
39047	0	0
39049	611772.0	1201
39051	1050.0	4
39053	4300.0	9
39055	22475.0	39
39057	9850.0	21
39059	2000.0	4
39061	287635.0	493
39063	2700.0	7
39065	250.0	1
39067	0	0
39069	1700.0	4
39071	1759.0	6
39073	250.0	1
39075	0	0
39077	0	0
39079	750.0	3
39081	5750.0	7
39083	4000.0	4
39085	12329.0	25
39087	2750.0	4
39089	31838.0	87
39091	1450.0	4
39093	63275.0	146
39095	77490.0	171
39097	0	0
39099	191026.0	351
39101	2500.0	4
39103	44836.0	70
39105	0	0
39107	2000.0	2
39109	2450.0	6
39111	0	0
39113	42900.0	78
39115	0	0
39117	500.0	2
39119	2750.0	4
39121	0	0
39123	700.0	2
39125	250.0	1
39127	200.0	1
39129	500.0	1
39131	3950.0	10
39133	14399.0	31
39135	0	0
39137	250.0	1
39139	4753.0	13
39141	3600.0	9
39143	2700.0	4
39145	6555.0	18
39147	0	0
39149	17100.0	26
39151	28000.0	44
39153	156559.0	268
39155	42410.0	77
39157	725.0	2
39159	750.0	3
39161	200.0	1
39163	0	0
39165	14930.0	33
39167	5950.0	8
39169	17990.0	22
39171	3250.0	6
39173	9650.0	21
39175	250.0	1
