zoneID	money	freq
42001	31286.0	72
42003	1319580.0	2715
42005	14200.0	34
42007	47739.0	123
42009	32375.0	50
42011	116808.0	267
42013	94460.0	153
42015	46150.0	95
42017	754020.0	1406
42019	73299.0	161
42021	67688.0	121
42023	6500.0	9
42025	10505.0	21
42027	80078.0	218
42029	962846.0	1672
42031	12939.0	28
42033	31125.0	69
42035	6800.0	16
42037	4360.0	9
42039	18800.0	44
42041	446618.0	922
42043	177327.0	346
42045	929207.0	1645
42047	6300.0	16
42049	175167.0	479
42051	24350.0	52
42053	800.0	4
42055	67700.0	101
42057	7800.0	9
42059	2650.0	8
42061	15050.0	27
42063	81650.0	116
42065	37800.0	64
42067	7250.0	16
42069	304165.0	572
42071	278226.0	468
42073	54446.0	114
42075	71825.0	125
42077	266590.0	481
42079	225465.0	379
42081	43713.0	103
42083	4950.0	15
42085	46518.0	99
42087	19510.0	34
42089	100370.0	167
42091	1489277.0	2769
42093	15050.0	35
42095	227316.0	404
42097	20710.0	42
42099	1550.0	5
42101	623041.0	1131
42103	27754.0	66
42105	13500.0	19
42107	64750.0	134
42109	9800.0	27
42111	18700.0	56
42113	4850.0	18
42115	40225.0	84
42117	2550.0	6
42119	14900.0	28
42121	11977.0	20
42123	24700.0	53
42125	73310.0	177
42127	45255.0	106
42129	148825.0	356
42131	94327.0	185
42133	344681.0	630
