zoneID	money	freq
45001	1000.0	1
45003	26225.0	58
45005	500.0	1
45007	12650.0	32
45009	5200.0	7
45011	23700.0	36
45013	58150.0	114
45015	3500.0	7
45017	3000.0	5
45019	361328.0	626
45021	12550.0	28
45023	4900.0	11
45025	6400.0	13
45027	5850.0	15
45029	1200.0	2
45031	16100.0	36
45033	9050.0	15
45035	2200.0	5
45037	4100.0	7
45039	400.0	2
45041	36449.0	57
45043	19150.0	32
45045	41901.0	78
45047	6200.0	10
45049	11650.0	17
45051	45790.0	89
45053	1500.0	5
45055	4150.0	12
45057	18400.0	53
45059	5950.0	9
45061	1550.0	5
45063	37300.0	80
45065	1500.0	3
45067	2250.0	5
45069	1900.0	4
45071	200.0	1
45073	0	0
45075	3750.0	7
45077	2650.0	4
45079	204179.0	410
45081	500.0	1
45083	26625.0	38
45085	7450.0	21
45087	0	0
45089	1000.0	1
45091	136650.0	315
