zoneID	money	freq
45001	1000.0	4
45003	43400.0	101
45005	12000.0	18
45007	43575.0	90
45009	400.0	1
45011	5500.0	10
45013	70125.0	147
45015	35089.0	56
45017	950.0	3
45019	574915.0	1104
45021	12524.0	24
45023	3001.0	7
45025	1000.0	5
45027	1600.0	5
45029	8351.0	19
45031	7450.0	24
45033	3700.0	10
45035	38100.0	79
45037	7300.0	15
45039	4000.0	6
45041	63300.0	99
45043	51425.0	103
45045	310539.0	533
45047	28865.0	64
45049	2750.0	5
45051	94376.0	207
45053	2850.0	6
45055	7750.0	30
45057	13200.0	35
45059	7575.0	23
45061	250.0	1
45063	103153.0	192
45065	2650.0	9
45067	250.0	1
45069	1000.0	3
45071	3750.0	7
45073	80030.0	155
45075	19866.0	33
45077	44487.0	96
45079	207667.0	373
45081	2000.0	2
45083	192362.0	299
45085	11253.0	29
45087	250.0	1
45089	500.0	1
45091	209743.0	321
