zoneID	money	freq
47001	105716.0	222
47003	62060.0	120
47005	1500.0	3
47007	4955.0	7
47009	60155.0	115
47011	157744.0	259
47013	96100.0	168
47015	500.0	1
47017	3450.0	9
47019	5950.0	16
47021	9076.0	20
47023	1200.0	4
47025	32500.0	55
47027	2600.0	6
47029	19750.0	38
47031	59225.0	123
47033	8500.0	15
47035	65539.0	130
47037	1274244.0	2253
47039	12235.0	17
47041	6250.0	8
47043	25587.0	43
47045	9950.0	28
47047	18450.0	22
47049	28950.0	51
47051	23673.0	50
47053	15508.0	40
47055	25920.0	72
47057	6493.0	14
47059	35000.0	58
47061	1300.0	4
47063	75875.0	136
47065	691745.0	1253
47067	500.0	1
47069	250.0	1
47071	21900.0	45
47073	14570.0	19
47075	200.0	1
47077	2500.0	9
47079	7000.0	18
47081	1000.0	3
47083	0	0
47085	2500.0	5
47087	500.0	2
47089	41600.0	60
47091	6750.0	11
47093	648691.0	1152
47095	1000.0	1
47097	2000.0	3
47099	44205.0	93
47101	250.0	1
47103	22700.0	52
47105	14841.0	34
47107	12470.0	32
47109	2000.0	5
47111	800.0	2
47113	60744.0	130
47115	16225.0	27
47117	8100.0	18
47119	35702.0	81
47121	1950.0	5
47123	4750.0	12
47125	27500.0	72
47127	500.0	2
47129	9450.0	15
47131	21540.0	57
47133	10000.0	17
47135	0	0
47137	5700.0	9
47139	4050.0	12
47141	88235.0	153
47143	46900.0	78
47145	32554.0	56
47147	6000.0	12
47149	135675.0	209
47151	27300.0	40
47153	2050.0	5
47155	51400.0	83
47157	810320.0	1389
47159	13750.0	26
47161	2700.0	8
47163	54500.0	115
47165	53178.0	102
47167	2050.0	6
47169	2500.0	8
47171	3000.0	7
47173	6200.0	14
47175	1500.0	3
47177	26300.0	59
47179	66860.0	98
47181	7350.0	14
47183	13250.0	25
47185	8100.0	19
47187	319224.0	590
47189	45000.0	79
