zoneID	money	freq
22001	211025.0	345
22003	22450.0	44
22005	312762.0	444
22007	150400.0	221
22009	64938.0	101
22011	72075.0	99
22013	25200.0	41
22015	1597213.0	1849
22017	3968610.0	5326
22019	1330683.0	1920
22021	23950.0	52
22023	13050.0	23
22025	10450.0	25
22027	60650.0	95
22029	30700.0	53
22031	75836.0	123
22033	5888323.0	7271
22035	25550.0	71
22037	44400.0	62
22039	27500.0	37
22041	64758.0	129
22043	9700.0	16
22045	875012.0	935
22047	93925.0	144
22049	73311.0	117
22051	5629753.0	7172
22053	152447.0	180
22055	4250007.0	5140
22057	1955284.0	1827
22059	62725.0	124
22061	596601.0	802
22063	251264.0	309
22065	32675.0	61
22067	220244.0	406
22069	91825.0	140
22071	5958985.0	7647
22073	1676589.0	2802
22075	187299.0	217
22077	112610.0	173
22079	1147551.0	1770
22081	29650.0	38
22083	265075.0	277
22085	63045.0	95
22087	64230.0	80
22089	313271.0	313
22091	3750.0	9
22093	18850.0	34
22095	170352.0	163
22097	409466.0	556
22099	289500.0	323
22101	813771.0	1036
22103	2815990.0	3732
22105	299127.0	435
22107	19199.0	53
22109	964791.0	1046
22111	60650.0	112
22113	283107.0	323
22115	49845.0	112
22117	106600.0	183
22119	545640.0	533
22121	31502.0	53
22123	52149.0	86
22125	60627.0	80
22127	117350.0	151
