zoneID	money	freq
24001	41190.0	76
24003	2902694.0	3968
24005	3375312.0	4974
24009	183983.0	339
24011	68242.0	85
24013	230997.0	366
24015	144750.0	256
24017	223488.0	347
24019	103243.0	235
24021	510128.0	826
24023	64594.0	82
24025	424919.0	728
24027	1414819.0	2306
24029	261326.0	499
24031	16477625.0	23986
24033	1055580.0	1815
24035	527936.0	855
24037	76052.0	151
24039	46523.0	76
24041	1032855.0	1309
24043	340642.0	470
24045	255089.0	427
24047	108370.0	201
24510	1599721.0	2390
