zoneID	money	freq
28001	117417.0	163
28003	176550.0	284
28005	10075.0	19
28007	18975.0	40
28009	4450.0	10
28011	151497.0	226
28013	24050.0	40
28015	9575.0	18
28017	27000.0	42
28019	2800.0	7
28021	23150.0	32
28023	11650.0	20
28025	71080.0	125
28027	78250.0	110
28029	16810.0	36
28031	25219.0	39
28033	908218.0	965
28035	257103.0	355
28037	3700.0	9
28039	5250.0	13
28041	17750.0	9
28043	44800.0	69
28045	68650.0	101
28047	1233235.0	1506
28049	3280335.0	3963
28051	19480.0	23
28053	19900.0	35
28055	19100.0	36
28057	122650.0	124
28059	396526.0	577
28061	51000.0	74
28063	3500.0	4
28065	16050.0	16
28067	431131.0	589
28069	18300.0	33
28071	649770.0	803
28073	307092.0	439
28075	470448.0	772
28077	8525.0	15
28079	34570.0	53
28081	942667.0	1425
28083	212605.0	341
28085	100449.0	215
28087	375152.0	536
28089	2091708.0	2157
28091	106900.0	108
28093	47650.0	73
28095	180600.0	191
28097	5150.0	14
28099	297810.0	310
28101	38620.0	80
28103	54450.0	67
28105	140266.0	215
28107	128650.0	135
28109	43734.0	76
28111	7900.0	10
28113	132628.0	171
28115	42060.0	75
28117	72000.0	92
28119	21699.0	21
28121	797756.0	1111
28123	47945.0	77
28125	22100.0	40
28127	52575.0	83
28129	23640.0	37
28131	5400.0	11
28133	194131.0	340
28135	21050.0	29
28137	22450.0	42
28139	84145.0	105
28141	65403.0	74
28143	81400.0	116
28145	68825.0	108
28147	47400.0	52
28149	153550.0	211
28151	328196.0	459
28153	5645.0	9
28155	47574.0	49
28157	17750.0	31
28159	50574.0	95
28161	18655.0	21
28163	186604.0	254
