zoneID	money	freq
48001	126947.0	255
48003	66450.0	95
48005	331947.0	525
48007	58811.0	97
48009	42500.0	56
48011	4500.0	8
48013	26205.0	57
48015	61600.0	90
48017	62250.0	98
48019	35035.0	74
48021	37533.0	110
48023	4700.0	5
48025	58400.0	62
48027	1250751.0	2056
48029	12416995.0	16628
48031	342125.0	280
48033	1250.0	3
48035	456157.0	121
48037	414594.0	738
48039	527631.0	902
48041	1282828.0	1761
48043	80450.0	101
48045	2400.0	6
48047	2600.0	3
48049	84037.0	162
48051	30141.0	58
48053	69172.0	132
48055	41781.0	135
48057	24595.0	44
48059	175300.0	242
48061	571632.0	824
48063	330700.0	276
48065	2400.0	9
48067	15235.0	22
48069	11450.0	21
48071	14200.0	29
48073	184797.0	266
48075	11200.0	32
48077	32325.0	72
48079	4950.0	7
48081	7850.0	27
48083	12150.0	28
48085	5628363.0	7127
48087	12200.0	26
48089	229418.0	332
48091	416829.0	722
48093	15250.0	32
48095	250.0	1
48097	74546.0	137
48099	199433.0	171
48101	0	0
48103	1000.0	1
48105	5450.0	11
48107	10650.0	33
48109	16200.0	19
48111	60600.0	111
48113	30573368.0	35889
48115	75389.0	158
48117	156000.0	248
48119	250.0	1
48121	1878650.0	2852
48123	37600.0	79
48125	2150.0	5
48127	83450.0	87
48129	73125.0	111
48131	500.0	2
48133	29050.0	40
48135	657377.0	1252
48137	24799.0	20
48139	268440.0	498
48141	1131024.0	1847
48143	78816.0	133
48145	13710.0	19
48147	32515.0	60
48149	92064.0	158
48151	3550.0	8
48153	21363.0	43
48155	2000.0	4
48157	3005001.0	3672
48159	15904.0	23
48161	8670.0	25
48163	19450.0	24
48165	61825.0	135
48167	667287.0	1005
48169	39128.0	39
48171	176844.0	335
48173	700.0	2
48175	16484.0	28
48177	36810.0	77
48179	82100.0	196
48181	353946.0	570
48183	1005181.0	1494
48185	67349.0	73
48187	132528.0	228
48189	96346.0	193
48191	4250.0	14
48193	25922.0	40
48195	13100.0	39
48197	1750.0	3
48199	41417.0	59
48201	33139794.0	41152
48203	290526.0	413
48205	1000.0	1
48207	3550.0	8
48209	309699.0	558
48211	119383.0	168
48213	181484.0	365
48215	1155892.0	1569
48217	68087.0	101
48219	36450.0	73
48221	236370.0	304
48223	23218.0	34
48225	96957.0	195
48227	66158.0	129
48229	5000.0	11
48231	87602.0	130
48233	27015.0	84
48235	11581.0	29
48237	2960.0	8
48239	7201.0	19
48241	16350.0	29
48243	10200.0	13
48245	721597.0	1161
48247	3250.0	3
48249	12101.0	21
48251	534644.0	954
48253	7448.0	20
48255	6501.0	18
48257	111171.0	182
48259	381836.0	608
48261	2200.0	4
48263	0	0
48265	294893.0	620
48267	8015.0	24
48269	0	0
48271	4340.0	10
48273	45258.0	83
48275	2700.0	4
48277	42755.0	85
48279	35433.0	55
48281	52859.0	94
48283	4250.0	5
48285	31010.0	51
48287	31725.0	63
48289	63910.0	100
48291	41377.0	93
48293	37500.0	62
48295	8500.0	19
48297	27945.0	32
48299	170592.0	306
48301	1400.0	3
48303	2450908.0	3481
48305	14900.0	27
48307	1916.0	8
48309	1860352.0	2186
48311	16750.0	25
48313	29900.0	30
48315	20238.0	32
48317	2950.0	8
48319	4905.0	18
48321	26035.0	66
48323	20350.0	27
48325	107381.0	123
48327	52350.0	84
48329	3765400.0	4715
48331	31650.0	51
48333	3700.0	10
48335	2500.0	9
48337	32050.0	84
48339	1619521.0	2268
48341	19050.0	44
48343	30585.0	24
48345	0	0
48347	283648.0	557
48349	92785.0	147
48351	1900.0	6
48353	19910.0	41
48355	1264156.0	1794
48357	53200.0	103
48359	4700.0	11
48361	32330.0	63
48363	198851.0	233
48365	177350.0	255
48367	592312.0	851
48369	24900.0	59
48371	18511.0	33
48373	38939.0	58
48375	1150450.0	2166
48377	5750.0	11
48379	1525.0	5
48381	1126436.0	2298
48383	21876.0	32
48385	500.0	2
48387	2620.0	7
48389	64900.0	91
48391	8400.0	14
48393	950.0	4
48395	33725.0	53
48397	314868.0	445
48399	6550.0	17
48401	187943.0	249
48403	6300.0	15
48405	3950.0	11
48407	14395.0	16
48409	67321.0	150
48411	9125.0	22
48413	2000.0	7
48415	29850.0	30
48417	316536.0	261
48419	109584.0	178
48421	18050.0	35
48423	2853513.0	3952
48425	19483.0	26
48427	32750.0	41
48429	26250.0	38
48431	16200.0	37
48433	2700.0	4
48435	61650.0	102
48437	21650.0	54
48439	9139152.0	13301
48441	1193260.0	1520
48443	750.0	2
48445	31733.0	55
48447	14750.0	10
48449	120164.0	176
48451	867968.0	1583
48453	9654203.0	11410
48455	465.0	3
48457	20668.0	60
48459	16950.0	23
48461	11200.0	35
48463	64895.0	103
48465	81920.0	118
48467	153185.0	167
48469	337361.0	698
48471	38551.0	74
48473	31113.0	49
48475	17316.0	33
48477	327019.0	572
48479	500082.0	536
48481	34905.0	54
48483	17300.0	33
48485	717539.0	1623
48487	56225.0	127
48489	36750.0	88
48491	1039288.0	1796
48493	32033.0	52
48495	80925.0	94
48497	55517.0	85
48499	79750.0	167
48501	43650.0	67
48503	173820.0	249
48505	10750.0	11
48507	108379.0	199
