zoneID	money	freq
55001	49290.0	105
55003	29069.0	65
55005	68386.0	107
55007	40150.0	95
55009	660462.0	1224
55011	14725.0	38
55013	29195.0	27
55015	4285.0	11
55017	118414.0	234
55019	3450.0	13
55021	72011.0	228
55023	57690.0	81
55025	5297702.0	13099
55027	38550.0	57
55029	101688.0	286
55031	38075.0	103
55033	108400.0	161
55035	271259.0	690
55037	0	0
55039	46272.0	123
55041	70938.0	48
55043	12600.0	40
55045	82546.0	198
55047	9140.0	32
55049	40205.0	132
55051	20400.0	42
55053	181625.0	221
55055	56141.0	144
55057	3950.0	10
55059	199646.0	730
55061	18650.0	41
55063	602632.0	1187
55065	11650.0	31
55067	16350.0	49
55069	20150.0	43
55071	87665.0	237
55073	243141.0	484
55075	38496.0	73
55077	16150.0	41
55078	8450.0	14
55079	4690589.0	8808
55081	39750.0	104
55083	7290.0	21
55085	45350.0	105
55087	365589.0	730
55089	652930.0	1453
55091	7092.0	14
55093	80138.0	251
55095	44632.0	57
55097	113994.0	240
55099	1700.0	7
55101	216319.0	466
55103	25565.0	79
55105	135045.0	409
55107	8775.0	22
55109	96880.0	257
55111	258017.0	385
55113	13700.0	35
55115	35150.0	56
55117	108380.0	258
55119	4800.0	12
55121	46416.0	98
55123	35285.0	85
55125	33650.0	87
55127	160355.0	368
55129	7280.0	25
55131	88203.0	213
55133	1046292.0	2333
55135	42851.0	114
55137	16020.0	25
55139	160066.0	369
55141	145329.0	387
