zoneID	money	freq
55001	77132.0	170
55003	51333.0	127
55005	79850.0	161
55007	21775.0	51
55009	2186987.0	3130
55011	7701.0	12
55013	9383.0	21
55015	145169.0	258
55017	32217.0	73
55019	37730.0	52
55021	218600.0	112
55023	52729.0	82
55025	3078531.0	3625
55027	157120.0	182
55029	150750.0	259
55031	46129.0	109
55033	12401.0	30
55035	264106.0	465
55037	6350.0	14
55039	351680.0	530
55041	73000.0	105
55043	34335.0	90
55045	22621.0	53
55047	91165.0	132
55049	76192.0	145
55051	1750.0	7
55053	39840.0	80
55055	143060.0	216
55057	17500.0	48
55059	364764.0	720
55061	39550.0	49
55063	543012.0	863
55065	1500.0	5
55067	57250.0	65
55069	15875.0	47
55071	84051.0	197
55073	564694.0	893
55075	92265.0	137
55077	36400.0	57
55078	2200.0	3
55079	2366129.0	3852
55081	51290.0	111
55083	23045.0	52
55085	90397.0	154
55087	741572.0	1152
55089	800893.0	1421
55091	3800.0	11
55093	82040.0	120
55095	23664.0	58
55097	58145.0	150
55099	18610.0	34
55101	722666.0	1430
55103	21250.0	44
55105	896778.0	1728
55107	2330.0	7
55109	198268.0	351
55111	196880.0	346
55113	212980.0	328
55115	30855.0	63
55117	342618.0	491
55119	11200.0	32
55121	50775.0	69
55123	57048.0	91
55125	56646.0	107
55127	402952.0	863
55129	29175.0	35
55131	362221.0	710
55133	2328630.0	3982
55135	177257.0	266
55137	59990.0	99
55139	607731.0	948
55141	655855.0	441
