zoneID	money	freq
12001	176150.0	353
12003	2000.0	6
12005	166918.0	242
12007	15250.0	19
12009	297480.0	570
12011	1762565.0	2899
12013	500.0	1
12015	53400.0	98
12017	64591.0	150
12019	44398.0	96
12021	494928.0	841
12023	8500.0	14
12027	14250.0	35
12029	3756.0	6
12031	941139.0	1434
12033	413195.0	603
12035	12600.0	22
12037	4000.0	8
12039	9150.0	16
12041	4250.0	9
12043	15300.0	44
12045	8515.0	15
12047	450.0	2
12049	16800.0	44
12051	81741.0	208
12053	183806.0	321
12055	34875.0	101
12057	705068.0	1253
12059	1029.0	4
12061	79300.0	157
12063	11100.0	29
12065	15646.0	31
12067	1750.0	4
12069	103717.0	163
12071	357443.0	752
12073	403325.0	814
12075	19763.0	49
12077	0	0
12079	1500.0	4
12081	307073.0	544
12083	86947.0	200
12085	227225.0	417
12086	3666718.0	5885
12087	122100.0	188
12089	43950.0	75
12091	116555.0	212
12093	8250.0	23
12095	1536244.0	2878
12097	30850.0	56
12099	3535833.0	5349
12101	96142.0	223
12103	388022.0	689
12105	257485.0	541
12107	12551.0	39
12109	3852620.0	511
12111	31525.0	66
12113	184943.0	331
12115	434087.0	800
12117	651203.0	1004
12119	8050.0	19
12121	1950.0	4
12123	2450.0	6
12125	2250.0	3
12127	304011.0	625
12129	2600.0	8
12131	30218.0	56
12133	1550.0	5
