zoneID	money	freq
13001	1500.0	5
13003	2800.0	11
13005	1850.0	5
13007	3000.0	3
13009	27450.0	59
13011	27650.0	32
13013	8300.0	21
13015	63709.0	112
13017	9850.0	20
13019	19360.0	57
13021	814077.0	1447
13023	12600.0	23
13025	0	0
13027	7250.0	13
13029	43201.0	82
13031	110649.0	291
13033	53592.0	165
13035	7000.0	12
13037	13750.0	20
13039	4200.0	7
13043	17400.0	32
13045	110252.0	214
13047	22050.0	35
13049	5150.0	15
13051	461768.0	842
13053	250.0	1
13055	12250.0	17
13057	79925.0	156
13059	123556.0	285
13061	2000.0	6
13063	28100.0	56
13065	7700.0	26
13067	1184359.0	1949
13069	42550.0	79
13071	204460.0	335
13073	156433.0	266
13075	11825.0	31
13077	47798.0	81
13079	13200.0	22
13081	16465.0	32
13083	0	0
13085	30900.0	53
13087	11450.0	17
13089	425931.0	712
13091	16721.0	31
13093	19850.0	37
13095	86350.0	201
13097	74900.0	132
13099	10400.0	18
13101	0	0
13103	17150.0	46
13105	6000.0	8
13107	23850.0	58
13109	4750.0	11
13111	550.0	2
13113	61197.0	102
13115	241532.0	310
13117	78825.0	143
13119	4900.0	11
13121	2028246.0	3175
13123	2680.0	5
13125	1000.0	4
13127	210180.0	408
13129	12565.0	26
13131	1000.0	1
13133	33226.0	49
13135	675362.0	1056
13137	7600.0	15
13139	136347.0	281
13141	0	0
13143	9650.0	22
13145	52150.0	76
13147	3250.0	10
13149	0	0
13151	53690.0	85
13153	144687.0	278
13155	16275.0	35
13157	19200.0	42
13159	11115.0	20
13161	4910.0	20
13163	26150.0	91
13165	6950.0	31
13167	800.0	3
13169	9450.0	13
13171	13100.0	43
13173	8500.0	16
13175	96850.0	155
13177	2550.0	6
13179	9450.0	24
13181	250.0	1
13183	4200.0	13
13185	68250.0	127
13187	4600.0	9
13189	21800.0	39
13191	400.0	3
13193	7225.0	13
13195	1050.0	5
13197	1000.0	1
13199	1650.0	4
13201	4000.0	7
13205	35650.0	63
13207	26175.0	50
13209	11150.0	19
13211	8900.0	16
13213	1500.0	3
13215	211918.0	391
13217	13100.0	27
13219	29350.0	49
13221	700.0	3
13223	45750.0	66
13225	18980.0	41
13227	17650.0	26
13229	6500.0	15
13231	1250.0	2
13233	38375.0	71
13235	17750.0	29
13237	21500.0	34
13239	0	0
13241	8173.0	18
13243	1000.0	1
13245	394078.0	698
13247	33796.0	65
13249	0	0
13251	58092.0	128
13253	200.0	1
13255	21980.0	59
13257	6950.0	10
13259	0	0
13261	43250.0	72
13263	1000.0	3
13265	0	0
13267	6400.0	20
13269	2250.0	3
13271	3450.0	5
13273	8700.0	17
13275	66650.0	110
13277	105100.0	169
13279	28895.0	64
13281	8300.0	27
13283	2300.0	5
13285	24476.0	55
13287	6550.0	14
13289	3000.0	9
13291	5150.0	11
13293	10600.0	28
13295	10400.0	27
13297	102719.0	153
13299	26650.0	51
13301	1000.0	4
13303	56600.0	87
13305	18100.0	29
13307	0	0
13309	1050.0	3
13311	1600.0	6
13313	64450.0	130
13315	0	0
13317	3850.0	8
13319	4600.0	9
13321	14400.0	38
