zoneID	money	freq
16001	447319.0	853
16003	7000.0	17
16005	8958.0	22
16007	0	0
16009	2350.0	7
16011	2500.0	8
16013	61700.0	99
16015	11115.0	19
16017	19375.0	38
16019	29211.0	85
16021	1300.0	4
16023	0	0
16025	0	0
16027	49100.0	120
16029	4950.0	9
16031	6100.0	15
16033	0	0
16035	3718.0	11
16037	1250.0	5
16039	2700.0	6
16041	3500.0	5
16043	2950.0	8
16045	3850.0	9
16047	1400.0	5
16049	9480.0	21
16051	7850.0	14
16053	2700.0	7
16055	83070.0	165
16057	20675.0	33
16059	0	0
16061	750.0	2
16063	250.0	1
16065	3300.0	11
16067	1500.0	3
16069	17765.0	59
16071	600.0	3
16073	6550.0	16
16075	18879.0	38
16077	700.0	3
16079	2900.0	9
16081	5000.0	5
16083	21896.0	42
16085	12000.0	22
16087	5300.0	16
