zoneID	money	freq
17001	26150.0	48
17003	0	0
17005	550.0	2
17007	20000.0	42
17009	700.0	2
17011	9700.0	26
17013	250.0	1
17015	2700.0	4
17017	6152.0	20
17019	86400.0	163
17021	6486.0	15
17023	700.0	2
17025	0	0
17027	450.0	2
17029	5500.0	12
17031	3072726.0	4956
17033	4450.0	6
17035	0	0
17037	40450.0	86
17039	0	0
17041	4700.0	13
17043	1012776.0	1591
17045	11850.0	22
17047	0	0
17049	7072.0	13
17051	24284.0	53
17053	2175.0	7
17055	23650.0	60
17057	2250.0	6
17059	0	0
17061	7050.0	12
17063	27875.0	54
17065	500.0	1
17067	1450.0	3
17069	0	0
17071	200.0	1
17073	7650.0	17
17075	5550.0	12
17077	12950.0	16
17079	0	0
17081	23169.0	47
17083	2550.0	5
17085	10585.0	22
17087	200.0	1
17089	392931.0	717
17091	46500.0	80
17093	109700.0	222
17095	4950.0	15
17097	1329624.0	2036
17099	31491.0	64
17101	8500.0	9
17103	10150.0	25
17105	8100.0	18
17107	9350.0	30
17109	500.0	1
17111	126616.0	209
17113	28250.0	62
17115	33750.0	63
17117	4500.0	6
17119	115200.0	209
17121	4000.0	9
17123	11000.0	29
17125	0	0
17127	4000.0	4
17129	250.0	1
17131	300.0	1
17133	5675.0	8
17135	7000.0	11
17137	30550.0	81
17139	450.0	2
17141	10640.0	24
17143	175675.0	373
17145	0	0
17147	650.0	3
17149	4714.0	13
17151	250.0	1
17153	0	0
17155	4550.0	15
17157	250.0	1
17159	2100.0	6
17161	39644.0	68
17163	19250.0	43
17165	13600.0	20
17167	150218.0	306
17169	1225.0	2
17171	0	0
17173	0	0
17175	0	0
17177	10200.0	37
17179	38450.0	67
17181	2500.0	3
17183	9250.0	13
17185	0	0
17187	1500.0	2
17189	7750.0	13
17191	0	0
17193	1450.0	4
17195	1947.0	6
17197	241481.0	385
17199	14800.0	23
17201	171898.0	314
17203	12820.0	31
