zoneID	money	freq
18001	5015.0	13
18003	443860.0	957
18005	157600.0	291
18007	3450.0	10
18009	1700.0	4
18011	144492.0	219
18013	9300.0	16
18015	1950.0	4
18017	16900.0	36
18019	93925.0	165
18021	1070.0	3
18023	975.0	3
18025	0	0
18027	9150.0	23
18029	6950.0	14
18031	34620.0	50
18033	22750.0	45
18035	130929.0	228
18037	28796.0	54
18039	327454.0	516
18041	1250.0	3
18043	102059.0	152
18045	11610.0	23
18047	1200.0	2
18049	6605.0	18
18051	4700.0	13
18053	13200.0	23
18055	2520.0	14
18057	610506.0	987
18059	22950.0	41
18061	13700.0	22
18063	55090.0	107
18065	32423.0	72
18067	22250.0	54
18069	15600.0	30
18071	40150.0	72
18073	29500.0	46
18075	4500.0	5
18077	10550.0	23
18079	2000.0	4
18081	70158.0	130
18083	23375.0	57
18085	86017.0	141
18087	6600.0	13
18089	244391.0	383
18091	97862.0	191
18093	7800.0	18
18095	91413.0	210
18097	1714207.0	3079
18099	52079.0	81
18101	3300.0	5
18103	7250.0	17
18105	132610.0	249
18107	10650.0	23
18109	21050.0	34
18111	4000.0	6
18113	12800.0	23
18115	0	0
18117	750.0	3
18119	1475.0	5
18121	1000.0	1
18123	14298.0	21
18125	4650.0	10
18127	126976.0	237
18129	25674.0	61
18131	14550.0	32
18133	10000.0	18
18135	7598.0	9
18137	31900.0	58
18139	10130.0	25
18141	479923.0	878
18143	7750.0	12
18145	23560.0	57
18147	11350.0	21
18149	10550.0	22
18151	11000.0	27
18153	865.0	4
18155	209.0	1
18157	77649.0	142
18159	7700.0	14
18161	0	0
18163	271575.0	512
18165	3200.0	5
18167	91325.0	177
18169	13900.0	28
18171	5500.0	6
18173	58576.0	120
18175	3406.0	11
18177	51279.0	115
18179	14150.0	37
18181	24146.0	46
18183	22250.0	53
