zoneID	money	freq
21001	4500.0	7
21003	5000.0	7
21005	16875.0	32
21007	3000.0	5
21009	35473.0	61
21011	3900.0	7
21013	27650.0	45
21015	274350.0	482
21017	44050.0	63
21019	152911.0	246
21021	47050.0	80
21023	3750.0	7
21025	11250.0	18
21027	8800.0	14
21029	25650.0	41
21031	3400.0	9
21033	8850.0	31
21035	75150.0	170
21037	131440.0	260
21039	3300.0	9
21041	1650.0	6
21043	3150.0	7
21045	15950.0	21
21047	192884.0	390
21049	26125.0	42
21051	13750.0	21
21053	2700.0	8
21055	4450.0	12
21057	3000.0	5
21059	166256.0	331
21061	0	0
21063	0	0
21065	1300.0	2
21067	812362.0	1393
21069	3400.0	6
21071	92950.0	146
21073	176270.0	298
21075	3450.0	7
21077	2500.0	8
21079	9350.0	18
21081	15400.0	29
21083	8950.0	25
21085	12300.0	24
21087	10100.0	20
21089	10500.0	27
21091	2000.0	2
21093	94860.0	183
21095	28850.0	53
21097	14900.0	27
21099	12750.0	22
21101	38200.0	72
21103	8000.0	15
21105	500.0	1
21107	57615.0	136
21109	4500.0	10
21111	2660484.0	4132
21113	62812.0	109
21115	29950.0	49
21117	414716.0	758
21119	82100.0	118
21121	16200.0	29
21123	1950.0	4
21125	80775.0	124
21127	1150.0	4
21129	10475.0	14
21131	7750.0	12
21133	31300.0	57
21135	2200.0	3
21137	20650.0	24
21139	14525.0	19
21141	8600.0	16
21143	1950.0	7
21145	245949.0	349
21147	4750.0	6
21149	2950.0	7
21151	46785.0	88
21153	15756.0	21
21155	13988.0	17
21157	30650.0	56
21159	32000.0	45
21161	13250.0	22
21163	6300.0	13
21165	0	0
21167	13750.0	21
21169	4700.0	8
21171	14300.0	23
21173	12050.0	26
21175	11750.0	14
21177	21950.0	49
21179	16100.0	30
21181	11000.0	21
21183	16100.0	32
21185	149835.0	233
21187	10025.0	17
21189	1750.0	4
21191	9250.0	11
21193	68475.0	113
21195	154700.0	221
21197	4050.0	9
21199	106600.0	165
21201	250.0	1
21203	9250.0	14
21205	27350.0	56
21207	21875.0	33
21209	28695.0	55
21211	57837.0	98
21213	10350.0	20
21215	0	0
21217	8150.0	15
21219	4850.0	12
21221	11700.0	26
21223	1200.0	6
21225	10772.0	17
21227	141540.0	287
21229	24900.0	41
21231	4550.0	9
21233	14400.0	24
21235	61842.0	107
21237	500.0	2
21239	40556.0	69
