zoneID	money	freq
26001	0	0
26003	0	0
26005	6800.0	10
26007	1800.0	3
26009	0	0
26011	1000.0	1
26013	-1000.0	1
26015	1250.0	2
26017	5450.0	11
26019	2650.0	7
26021	8025.0	15
26023	0	0
26025	3000.0	3
26027	250.0	1
26029	2824.0	7
26031	2174.0	5
26033	15000.0	31
26035	683.0	1
26037	1550.0	3
26039	0	0
26041	14000.0	26
26043	19200.0	29
26045	3390.0	8
26047	8150.0	17
26049	64715.0	139
26051	250.0	1
26053	1250.0	2
26055	15653.0	34
26057	1735.0	6
26059	500.0	1
26061	2250.0	5
26063	0	0
26065	87525.0	177
26067	1500.0	5
26069	0	0
26071	0	0
26073	25080.0	31
26075	1050.0	3
26077	45844.0	82
26079	1000.0	3
26081	72695.0	142
26083	1000.0	1
26085	0	0
26087	9300.0	13
26089	7700.0	20
26091	3493.0	5
26093	27855.0	55
26095	200.0	1
26097	15015.0	32
26099	395749.0	612
26101	6000.0	6
26103	11850.0	31
26105	1150.0	4
26107	900.0	4
26109	4700.0	10
26111	6250.0	17
26113	0	0
26115	12400.0	21
26117	4200.0	5
26119	0	0
26121	5340.0	10
26123	250.0	1
26125	2513570.0	4029
26127	6101.0	18
26129	0	0
26131	250.0	1
26133	950.0	3
26135	0	0
26137	2100.0	4
26139	16950.0	38
26141	0	0
26143	250.0	1
26145	9200.0	16
26147	38200.0	55
26149	0	0
26151	250.0	1
26153	4000.0	5
26155	3250.0	6
26157	0	0
26159	1650.0	3
26161	332304.0	890
26163	892020.0	1436
26165	400.0	1
