zoneID	money	freq
27001	2450.0	7
27003	157537.0	339
27005	8400.0	20
27007	15565.0	31
27009	9350.0	22
27011	700.0	2
27013	64380.0	125
27015	21102.0	53
27017	24955.0	39
27019	115890.0	216
27021	7600.0	13
27023	1950.0	7
27025	10505.0	30
27027	13175.0	27
27029	3900.0	9
27031	12165.0	31
27033	1800.0	5
27035	23058.0	46
27037	597841.0	1235
27039	8025.0	16
27041	8500.0	17
27043	17600.0	20
27045	4725.0	11
27047	11350.0	26
27049	43350.0	88
27051	3765.0	6
27053	5293348.0	9889
27055	13150.0	30
27057	2600.0	9
27059	3687.0	11
27061	10038.0	20
27063	3500.0	9
27065	5050.0	10
27067	26982.0	59
27069	1200.0	3
27071	2550.0	8
27073	850.0	3
27075	8200.0	18
27077	1700.0	6
27079	5630.0	9
27081	735.0	2
27083	4015.0	12
27085	14687.0	39
27087	1550.0	3
27089	4650.0	9
27091	12550.0	20
27093	10000.0	18
27095	26725.0	41
27097	7700.0	21
27099	40329.0	77
27101	2550.0	6
27103	48475.0	103
27105	4800.0	12
27107	550.0	2
27109	177626.0	338
27111	14795.0	36
27113	6750.0	10
27115	7250.0	11
27117	0	0
27119	6650.0	15
27121	2000.0	6
27123	1462887.0	3194
27125	0	0
27127	1200.0	4
27129	16972.0	33
27131	42365.0	107
27133	2500.0	4
27135	15550.0	26
27137	93058.0	219
27139	135963.0	219
27141	16819.0	45
27143	2000.0	5
27145	71315.0	161
27147	11825.0	35
27149	2100.0	6
27151	7500.0	15
27153	3750.0	9
27155	2800.0	5
27157	8750.0	19
27159	450.0	2
27161	3800.0	13
27163	593179.0	1032
27165	5715.0	8
27167	4500.0	8
27169	56190.0	90
27171	50050.0	87
27173	8050.0	25
