zoneID	money	freq
29001	19550.0	49
29003	10119.0	18
29005	25200.0	48
29007	22400.0	61
29009	30522.0	51
29011	4880.0	13
29013	3800.0	15
29015	750.0	2
29017	1500.0	3
29019	256554.0	497
29021	213615.0	344
29023	36830.0	90
29025	2250.0	5
29027	24635.0	52
29029	15800.0	40
29031	181292.0	335
29033	2400.0	8
29035	1950.0	4
29037	53000.0	114
29039	2200.0	6
29041	17400.0	33
29043	39125.0	61
29045	0	0
29047	193325.0	360
29049	12650.0	28
29051	194343.0	380
29053	4600.0	11
29055	3800.0	13
29057	3250.0	7
29059	1250.0	5
29061	1050.0	4
29063	19750.0	33
29065	14900.0	25
29067	200.0	1
29069	36675.0	94
29071	92065.0	156
29073	21117.0	44
29075	13100.0	24
29077	699508.0	1158
29079	6100.0	19
29081	10700.0	15
29083	29350.0	74
29085	250.0	1
29087	18000.0	35
29089	250.0	1
29091	47200.0	108
29093	2368.0	9
29095	1371893.0	2381
29097	88300.0	145
29099	80070.0	154
29101	22900.0	47
29103	1000.0	4
29105	71150.0	127
29107	22650.0	43
29109	14400.0	23
29111	12800.0	26
29113	9100.0	17
29115	8200.0	16
29117	50150.0	84
29119	4450.0	10
29121	800.0	3
29123	3500.0	8
29125	4500.0	9
29127	16500.0	45
29129	1375.0	6
29131	7150.0	21
29133	26186.0	67
29135	9325.0	23
29137	1050.0	5
29139	4500.0	8
29141	8250.0	19
29143	23050.0	58
29145	87100.0	135
29147	26775.0	48
29149	2150.0	7
29151	3850.0	10
29153	10900.0	21
29155	11600.0	28
29157	15450.0	29
29159	38550.0	66
29161	54638.0	126
29163	3050.0	6
29165	152321.0	318
29167	11750.0	27
29169	13100.0	34
29171	1000.0	1
29173	4700.0	13
29175	32126.0	79
29177	1950.0	6
29179	9200.0	18
29181	5000.0	13
29183	287871.0	523
29185	500.0	2
29186	2700.0	8
29187	30840.0	53
29189	4809555.0	7819
29195	7950.0	20
29197	1400.0	5
29199	1450.0	5
29201	119205.0	266
29203	4250.0	11
29205	4450.0	6
29207	43300.0	79
29209	17275.0	29
29211	0	0
29213	89075.0	145
29215	4975.0	12
29217	3600.0	9
29219	20725.0	51
29221	1800.0	7
29223	8520.0	17
29225	8950.0	20
29227	1000.0	1
29229	4150.0	10
29510	685178.0	1150
