zoneID	money	freq
28001	19375.0	26
28003	500.0	2
28005	900.0	2
28007	3457.0	8
28009	0	0
28011	10000.0	20
28013	500.0	1
28015	0	0
28017	600.0	2
28019	0	0
28021	2000.0	4
28023	0	0
28025	2000.0	2
28027	14800.0	19
28029	34200.0	43
28031	4250.0	11
28033	4350.0	10
28035	44341.0	105
28037	1000.0	1
28039	1250.0	2
28041	3050.0	5
28043	250.0	1
28045	4600.0	10
28047	92056.0	162
28049	353235.0	537
28051	13000.0	13
28053	1000.0	2
28055	2650.0	5
28057	500.0	2
28059	75007.0	93
28061	8750.0	10
28063	500.0	1
28065	16667.0	25
28067	24950.0	35
28069	0	0
28071	14375.0	24
28073	47650.0	113
28075	4050.0	6
28077	1250.0	4
28079	1000.0	3
28081	6100.0	12
28083	9250.0	15
28085	7800.0	11
28087	15930.0	23
28089	81949.0	117
28091	14950.0	30
28093	1000.0	1
28095	2000.0	2
28097	7000.0	7
28099	31000.0	41
28101	1250.0	5
28103	1000.0	2
28105	1500.0	2
28107	9350.0	13
28109	2000.0	3
28111	0	0
28113	16750.0	22
28115	500.0	1
28117	5750.0	7
28119	0	0
28121	23163.0	34
28123	3650.0	5
28125	250.0	1
28127	4450.0	10
28129	5120.0	8
28131	0	0
28133	4250.0	8
28135	500.0	1
28137	0	0
28139	0	0
28141	1750.0	4
28143	1700.0	3
28145	0	0
28147	7250.0	14
28149	7700.0	10
28151	18100.0	35
28153	2950.0	5
28155	0	0
28157	2000.0	2
28159	0	0
28161	200.0	1
28163	2900.0	7
