zoneID	money	freq
28001	29125.0	51
28003	7200.0	19
28005	3125.0	5
28007	4357.0	11
28009	1000.0	4
28011	45174.0	75
28013	4000.0	6
28015	1275.0	2
28017	2850.0	5
28019	0	0
28021	9000.0	13
28023	5300.0	9
28025	12670.0	20
28027	42000.0	51
28029	37500.0	49
28031	9600.0	21
28033	62510.0	86
28035	79061.0	171
28037	1200.0	2
28039	1900.0	5
28041	3050.0	5
28043	2500.0	5
28045	15100.0	27
28047	196886.0	329
28049	843491.0	1303
28051	16000.0	18
28053	6250.0	11
28055	6650.0	13
28057	4400.0	9
28059	108357.0	140
28061	20300.0	40
28063	3500.0	4
28065	18117.0	28
28067	109250.0	212
28069	5950.0	13
28071	69575.0	94
28073	75850.0	172
28075	108020.0	244
28077	1500.0	5
28079	13000.0	21
28081	67900.0	148
28083	49650.0	75
28085	29080.0	54
28087	36530.0	57
28089	264429.0	418
28091	31050.0	56
28093	5750.0	12
28095	13800.0	23
28097	8250.0	9
28099	117030.0	144
28101	12370.0	29
28103	9750.0	19
28105	13150.0	23
28107	20200.0	30
28109	4100.0	7
28111	200.0	1
28113	66088.0	47
28115	2700.0	11
28117	14550.0	23
28119	8249.0	11
28121	152231.0	246
28123	14945.0	25
28125	4950.0	11
28127	17800.0	36
28129	10870.0	21
28131	700.0	2
28133	55949.0	99
28135	3500.0	4
28137	4250.0	5
28139	3750.0	5
28141	7000.0	11
28143	15950.0	19
28145	4000.0	7
28147	20250.0	29
28149	25450.0	35
28151	75033.0	151
28153	2950.0	5
28155	250.0	1
28157	4250.0	8
28159	8900.0	24
28161	1200.0	3
28163	51049.0	79
