zoneID	money	freq
37001	120209.0	190
37003	2000.0	2
37005	10800.0	17
37007	11500.0	26
37009	30350.0	42
37011	20400.0	34
37013	50763.0	103
37015	33425.0	55
37017	29725.0	60
37019	105440.0	250
37021	353120.0	739
37023	28050.0	51
37025	241327.0	405
37027	60050.0	117
37029	3500.0	7
37031	44967.0	86
37033	0	0
37035	194295.0	356
37037	36661.0	81
37039	7750.0	19
37041	25800.0	46
37043	950.0	4
37045	49800.0	106
37047	39725.0	81
37049	131364.0	265
37051	477771.0	830
37053	9650.0	17
37055	26325.0	51
37057	67039.0	146
37059	44588.0	85
37061	27484.0	50
37063	371137.0	738
37065	66500.0	111
37067	1062251.0	2022
37069	30650.0	50
37071	175048.0	298
37073	2300.0	7
37075	2700.0	7
37077	29850.0	67
37079	15550.0	21
37081	1543985.0	2445
37083	58137.0	103
37085	152066.0	279
37087	46479.0	103
37089	77091.0	170
37091	16999.0	32
37093	4150.0	8
37095	500.0	1
37097	118811.0	240
37099	68114.0	134
37101	143238.0	239
37103	6950.0	8
37105	60502.0	93
37107	113472.0	195
37109	33170.0	64
37111	9533.0	20
37113	71040.0	142
37115	17975.0	45
37117	13835.0	28
37119	2923443.0	4761
37121	6300.0	11
37123	47850.0	74
37125	140981.0	280
37127	155501.0	261
37129	386823.0	708
37131	18993.0	31
37133	57750.0	105
37135	478162.0	911
37137	8950.0	17
37139	411201.0	158
37141	17550.0	36
37143	8019.0	18
37145	16591.0	25
37147	242370.0	419
37149	17777.0	42
37151	93925.0	135
37153	36700.0	65
37155	179222.0	312
37157	52510.0	96
37159	219981.0	379
37161	28319.0	50
37163	70610.0	114
37165	23401.0	55
37167	99784.0	196
37169	1450.0	6
37171	75491.0	146
37173	21042.0	35
37175	32020.0	61
37177	1500.0	3
37179	118180.0	191
37181	34656.0	67
37183	2161574.0	3883
37185	22049.0	41
37187	616.0	2
37189	53135.0	92
37191	90096.0	151
37193	69070.0	130
37195	106989.0	216
37197	11035.0	22
37199	21783.0	43
