zoneID	money	freq
38001	0	0
38003	1950.0	4
38005	700.0	2
38007	0	0
38009	0	0
38011	0	0
38013	0	0
38015	21767.0	52
38017	25800.0	63
38019	0	0
38021	600.0	2
38023	0	0
38025	2000.0	8
38027	0	0
38029	0	0
38031	0	0
38033	0	0
38035	21925.0	36
38037	0	0
38039	0	0
38041	0	0
38043	0	0
38045	0	0
38047	0	0
38049	0	0
38051	0	0
38053	200.0	1
38055	0	0
38057	0	0
38059	1100.0	5
38061	4700.0	8
38063	0	0
38065	0	0
38067	3250.0	4
38069	0	0
38071	950.0	4
38073	0	0
38075	0	0
38077	1150.0	4
38079	500.0	2
38081	0	0
38083	0	0
38085	1000.0	1
38087	0	0
38089	800.0	3
38091	0	0
38093	1670.0	6
38095	250.0	1
38097	0	0
38099	0	0
38101	2500.0	5
38103	0	0
38105	400.0	2
