zoneID	money	freq
38001	0	0
38003	2400.0	4
38005	701.0	2
38007	0	0
38009	5150.0	7
38011	200.0	1
38013	0	0
38015	74370.0	131
38017	133520.0	274
38019	0	0
38021	1500.0	2
38023	500.0	1
38025	0	0
38027	1250.0	4
38029	450.0	2
38031	0	0
38033	0	0
38035	83519.0	159
38037	100.0	2
38039	500.0	1
38041	0	0
38043	250.0	1
38045	1875.0	5
38047	0	0
38049	950.0	3
38051	500.0	1
38053	250.0	1
38055	3500.0	8
38057	710.0	3
38059	9750.0	24
38061	1500.0	4
38063	200.0	1
38065	0	0
38067	5900.0	8
38069	200.0	1
38071	9026.0	22
38073	400.0	2
38075	0	0
38077	3450.0	6
38079	200.0	1
38081	425.0	2
38083	0	0
38085	0	0
38087	0	0
38089	10126.0	19
38091	300.0	1
38093	5250.0	7
38095	1850.0	6
38097	1560.0	5
38099	7970.0	17
38101	25535.0	51
38103	750.0	2
38105	1650.0	6
