zoneID	money	freq
31001	30172.0	48
31003	500.0	2
31005	0	0
31007	300.0	1
31009	300.0	1
31011	2100.0	6
31013	1500.0	2
31015	0	0
31017	850.0	3
31019	7300.0	23
31021	500.0	1
31023	0	0
31025	11800.0	21
31027	850.0	3
31029	600.0	3
31031	700.0	2
31033	5850.0	9
31035	300.0	1
31037	300.0	1
31039	800.0	2
31041	0	0
31043	500.0	2
31045	500.0	1
31047	4550.0	16
31049	0	0
31051	1000.0	3
31053	1250.0	4
31055	915183.0	1531
31057	200.0	1
31059	800.0	3
31061	5100.0	14
31063	550.0	2
31065	250.0	1
31067	4500.0	6
31069	1400.0	4
31071	950.0	3
31073	500.0	2
31075	800.0	3
31077	0	0
31079	13150.0	37
31081	4850.0	7
31083	0	0
31085	0	0
31087	0	0
31089	1000.0	4
31091	0	0
31093	0	0
31095	0	0
31097	0	0
31099	300.0	1
31101	3150.0	11
31103	0	0
31105	1400.0	5
31107	200.0	1
31109	163858.0	319
31111	16050.0	31
31113	0	0
31115	0	0
31117	0	0
31119	10150.0	18
31121	550.0	2
31123	900.0	3
31125	200.0	1
31127	500.0	1
31129	600.0	2
31131	2000.0	6
31133	0	0
31135	300.0	1
31137	12581.0	44
31139	0	0
31141	15450.0	28
31143	0	0
31145	1500.0	4
31147	1050.0	3
31149	300.0	1
31151	8000.0	10
31153	46925.0	77
31155	300.0	1
31157	5900.0	15
31159	5900.0	10
31161	0	0
31163	0	0
31165	0	0
31167	0	0
31169	1000.0	3
31171	300.0	1
31173	6000.0	9
31175	800.0	3
31177	31778.0	50
31179	555.0	1
31181	0	0
31183	0	0
31185	1250.0	2
