zoneID	money	freq
40001	18550.0	27
40003	3700.0	6
40005	8950.0	15
40007	1200.0	4
40009	40200.0	80
40011	4108.0	11
40013	51550.0	76
40015	14010.0	33
40017	55150.0	94
40019	79700.0	128
40021	25030.0	48
40023	10500.0	30
40025	550.0	2
40027	472134.0	753
40029	13050.0	19
40031	137443.0	265
40033	3450.0	6
40035	18950.0	36
40037	62450.0	115
40039	11150.0	30
40041	17250.0	28
40043	13350.0	16
40045	250.0	1
40047	110775.0	189
40049	9300.0	17
40051	11200.0	36
40053	250.0	1
40055	1700.0	4
40057	650.0	3
40059	7550.0	24
40061	9050.0	21
40063	3925.0	9
40065	35658.0	102
40067	1000.0	3
40069	2050.0	5
40071	122890.0	247
40073	13750.0	24
40075	1250.0	4
40077	14400.0	29
40079	24139.0	65
40081	8300.0	23
40083	8100.0	17
40085	2950.0	9
40087	19355.0	45
40089	19283.0	38
40091	12200.0	19
40093	2500.0	10
40095	15175.0	37
40097	9350.0	20
40099	17301.0	33
40101	109459.0	208
40103	7250.0	17
40105	2750.0	5
40107	1450.0	5
40109	1646499.0	2883
40111	24400.0	41
40113	19775.0	36
40115	15250.0	24
40117	15136.0	25
40119	46700.0	100
40121	128547.0	215
40123	181751.0	140
40125	61205.0	121
40127	22940.0	45
40129	5450.0	10
40131	58951.0	116
40133	28900.0	61
40135	23525.0	36
40137	36569.0	61
40139	18900.0	55
40141	17100.0	39
40143	2104373.0	3833
40145	26201.0	47
40147	31705.0	79
40149	3500.0	10
40151	11700.0	21
40153	17500.0	48
