zoneID	money	freq
42001	12150.0	20
42003	808246.0	1412
42005	7750.0	10
42007	29537.0	64
42009	7750.0	9
42011	110209.0	248
42013	16900.0	24
42015	500.0	2
42017	220450.0	392
42019	35650.0	60
42021	274175.0	342
42023	500.0	1
42025	5300.0	13
42027	42330.0	95
42029	451815.0	814
42031	7600.0	9
42033	5250.0	7
42035	0	0
42037	3850.0	8
42039	2000.0	2
42041	44650.0	86
42043	55765.0	141
42045	768639.0	1213
42047	0	0
42049	10850.0	21
42051	54450.0	72
42053	0	0
42055	3150.0	6
42057	300.0	1
42059	10050.0	19
42061	2500.0	4
42063	10450.0	14
42065	1000.0	1
42067	1000.0	2
42069	55400.0	104
42071	36941.0	67
42073	10800.0	16
42075	14925.0	28
42077	39030.0	105
42079	97252.0	164
42081	1950.0	6
42083	0	0
42085	4250.0	5
42087	0	0
42089	25200.0	37
42091	1118722.0	1982
42093	1700.0	4
42095	62120.0	123
42097	250.0	5
42099	0.0	2
42101	1181335.0	2117
42103	2500.0	3
42105	0	0
42107	80145.0	175
42109	2700.0	4
42111	35350.0	47
42113	0	0
42115	1600.0	3
42117	200.0	1
42119	3200.0	10
42121	0	0
42123	0	0
42125	157090.0	246
42127	1000.0	2
42129	156400.0	248
42131	2500.0	3
42133	17600.0	36
