zoneID	money	freq
47001	38350.0	98
47003	18710.0	27
47005	1300.0	3
47007	8250.0	14
47009	24005.0	56
47011	45000.0	54
47013	19200.0	28
47015	500.0	1
47017	4700.0	11
47019	3000.0	4
47021	13050.0	26
47023	1000.0	4
47025	9250.0	13
47027	1800.0	3
47029	8975.0	18
47031	47501.0	95
47033	10500.0	15
47035	79146.0	148
47037	1509808.0	2632
47039	2000.0	11
47041	25450.0	35
47043	36200.0	60
47045	4550.0	7
47047	2000.0	2
47049	34050.0	58
47051	23825.0	48
47053	2850.0	7
47055	10950.0	110
47057	750.0	2
47059	12900.0	16
47061	750.0	2
47063	6500.0	12
47065	168150.0	300
47067	1700.0	3
47069	0	0
47071	3750.0	7
47073	1500.0	2
47075	0	0
47077	1200.0	4
47079	9050.0	18
47081	2750.0	9
47083	500.0	2
47085	6900.0	21
47087	6400.0	11
47089	9550.0	20
47091	6250.0	7
47093	160663.0	262
47095	1000.0	1
47097	2250.0	4
47099	5150.0	19
47101	500.0	2
47103	8400.0	23
47105	2950.0	9
47107	2000.0	4
47109	1800.0	5
47111	2250.0	6
47113	23700.0	47
47115	4000.0	10
47117	2350.0	9
47119	38445.0	67
47121	2050.0	5
47123	7900.0	14
47125	14950.0	22
47127	550.0	2
47129	24150.0	44
47131	11650.0	18
47133	51015.0	98
47135	3250.0	4
47137	17850.0	32
47139	1000.0	1
47141	72225.0	127
47143	3000.0	3
47145	33279.0	57
47147	10650.0	18
47149	41851.0	80
47151	5275.0	8
47153	4950.0	11
47155	19250.0	28
47157	517191.0	834
47159	14450.0	30
47161	500.0	1
47163	16177.0	35
47165	85337.0	170
47167	18000.0	23
47169	11000.0	19
47171	750.0	2
47173	0	0
47175	250.0	1
47177	6500.0	17
47179	19353.0	28
47181	500.0	1
47183	8452.0	16
47185	3200.0	10
47187	288119.0	468
47189	55225.0	107
