zoneID	money	freq
13001	1250.0	4
13003	250.0	1
13005	3500.0	5
13007	1000.0	1
13009	46627.0	81
13011	26450.0	27
13013	12025.0	19
13015	99974.0	155
13017	4700.0	8
13019	14700.0	35
13021	896047.0	1360
13023	3600.0	8
13025	-500.0	1
13027	18950.0	38
13029	66432.0	97
13031	139907.0	279
13033	18400.0	40
13035	106495.0	159
13037	26821.0	23
13039	5450.0	11
13043	34867.0	41
13045	193110.0	312
13047	59600.0	49
13049	9200.0	18
13051	901334.0	1299
13053	1700.0	2
13055	42100.0	30
13057	142344.0	204
13059	398960.0	795
13061	0	0
13063	175377.0	269
13065	12500.0	17
13067	2616253.0	3322
13069	24850.0	46
13071	224373.0	286
13073	201810.0	291
13075	8050.0	24
13077	309924.0	420
13079	6550.0	12
13081	21793.0	39
13083	3250.0	6
13085	29855.0	29
13087	3450.0	6
13089	1619252.0	2475
13091	17750.0	32
13093	33500.0	44
13095	115263.0	233
13097	69100.0	135
13099	9000.0	11
13101	250.0	1
13103	20198.0	56
13105	14400.0	22
13107	26900.0	42
13109	15300.0	26
13111	-1000.0	1
13113	462666.0	642
13115	321022.0	390
13117	119185.0	157
13119	12350.0	24
13121	6210388.0	8064
13123	13450.0	22
13125	2810.0	11
13127	420409.0	526
13129	17000.0	26
13131	1000.0	2
13133	77349.0	115
13135	1223164.0	1402
13137	46250.0	66
13139	257593.0	394
13141	250.0	1
13143	20050.0	34
13145	118950.0	155
13147	6500.0	10
13149	1500.0	2
13151	333010.0	427
13153	129423.0	200
13155	11250.0	22
13157	54050.0	93
13159	27700.0	42
13161	1250.0	3
13163	29585.0	54
13165	9125.0	30
13167	750.0	2
13169	9950.0	15
13171	26847.0	49
13173	6250.0	9
13175	91487.0	131
13177	10000.0	12
13179	33950.0	43
13181	0	0
13183	1950.0	8
13185	61964.0	95
13187	31550.0	36
13189	20850.0	34
13191	2200.0	5
13193	3960.0	7
13195	9150.0	17
13197	2000.0	6
13199	18350.0	30
13201	0	0
13205	30800.0	50
13207	37600.0	70
13209	3650.0	9
13211	16825.0	32
13213	5300.0	5
13215	735189.0	1050
13217	76391.0	88
13219	86126.0	112
13221	8600.0	24
13223	19350.0	41
13225	20513.0	40
13227	26950.0	32
13229	3450.0	10
13231	16925.0	32
13233	69782.0	121
13235	32000.0	35
13237	26950.0	37
13239	0	0
13241	15050.0	24
13243	2400.0	4
13245	416903.0	602
13247	110686.0	171
13249	6050.0	7
13251	51340.0	102
13253	750.0	2
13255	66750.0	138
13257	6950.0	11
13259	-1800.0	3
13261	31500.0	49
13263	8500.0	16
13265	1320.0	6
13267	10550.0	20
13269	15350.0	16
13271	4900.0	9
13273	5250.0	6
13275	96614.0	138
13277	98600.0	119
13279	47950.0	74
13281	7089.0	13
13283	5150.0	11
13285	42831.0	79
13287	17208.0	22
13289	1000.0	2
13291	16867.0	15
13293	10500.0	31
13295	32100.0	33
13297	63175.0	100
13299	25800.0	38
13301	4700.0	23
13303	75175.0	109
13305	16540.0	25
13307	0	0
13309	1700.0	4
13311	4450.0	11
13313	112100.0	158
13315	1200.0	4
13317	5100.0	10
13319	9450.0	13
13321	2000.0	8
