zoneID	money	freq
18001	6700.0	10
18003	180190.0	315
18005	111300.0	179
18007	750.0	3
18009	0	0
18011	71540.0	113
18013	4550.0	12
18015	0	0
18017	10418.0	18
18019	407825.0	182
18021	500.0	2
18023	2850.0	7
18025	0	0
18027	5400.0	14
18029	8500.0	19
18031	2700.0	10
18033	13850.0	15
18035	152050.0	213
18037	22846.0	57
18039	303783.0	430
18041	700.0	2
18043	165150.0	193
18045	11600.0	40
18047	1250.0	3
18049	7950.0	17
18051	3900.0	8
18053	11025.0	25
18055	3325.0	9
18057	274898.0	444
18059	15200.0	24
18061	18500.0	26
18063	74055.0	76
18065	15820.0	37
18067	16850.0	32
18069	14610.0	20
18071	6340.0	8
18073	20750.0	22
18075	500.0	1
18077	16150.0	26
18079	2500.0	5
18081	44105.0	98
18083	8150.0	23
18085	72330.0	90
18087	4065.0	11
18089	83207.0	121
18091	79600.0	115
18093	8100.0	15
18095	88671.0	136
18097	767645.0	1110
18099	32945.0	52
18101	0	0
18103	3000.0	6
18105	81048.0	114
18107	3150.0	12
18109	18250.0	31
18111	0	0
18113	12250.0	15
18115	0	0
18117	450.0	2
18119	1200.0	5
18121	0	0
18123	6150.0	16
18125	250.0	1
18127	38950.0	48
18129	31725.0	29
18131	3850.0	7
18133	1500.0	4
18135	1250.0	2
18137	26927.0	49
18139	14584.0	24
18141	283915.0	419
18143	3200.0	5
18145	29150.0	48
18147	18200.0	25
18149	1500.0	3
18151	1500.0	4
18153	530.0	1
18155	0	0
18157	45496.0	86
18159	1500.0	4
18161	0	0
18163	229734.0	280
18165	2500.0	3
18167	45506.0	75
18169	8865.0	18
18171	700.0	2
18173	27600.0	67
18175	5700.0	11
18177	66017.0	101
18179	14050.0	28
18181	6620.0	13
18183	2600.0	7
