zoneID	money	freq
30001	3500.0	9
30003	4000.0	6
30005	2000.0	1
30007	300.0	1
30009	4550.0	12
30011	500.0	1
30013	23814.0	47
30015	4950.0	11
30017	1250.0	3
30019	600.0	2
30021	500.0	1
30023	0	0
30025	0	0
30027	3500.0	6
30029	25700.0	46
30031	69631.0	104
30033	0	0
30035	4150.0	10
30037	250.0	1
30039	0	0
30041	7928.0	9
30043	3500.0	4
30045	3550.0	7
30047	16585.0	54
30049	39697.0	66
30051	250.0	1
30053	6750.0	6
30055	2250.0	4
30057	6698.0	16
30059	3975.0	7
30061	0	0
30063	49246.0	81
30065	0	0
30067	9330.0	20
30069	0	0
30071	1200.0	2
30073	500.0	2
30075	0	0
30077	500.0	1
30079	0	0
30081	7588.0	14
30083	2700.0	5
30085	280.0	1
30087	0	0
30089	250.0	1
30091	250.0	1
30093	27785.0	43
30095	5000.0	4
30097	3550.0	8
30099	2200.0	7
30101	310.0	1
30103	0	0
30105	1750.0	6
30107	800.0	2
30109	0	0
30111	118053.0	175
