zoneID	money	freq
39001	1550.0	5
39003	74886.0	140
39005	1050.0	3
39007	43575.0	63
39009	12975.0	20
39011	38885.0	44
39013	59750.0	162
39015	12200.0	13
39017	276093.0	493
39019	1400.0	4
39021	19550.0	41
39023	144837.0	225
39025	120025.0	175
39027	18750.0	25
39029	21200.0	65
39031	10700.0	15
39033	3950.0	10
39035	3209965.0	3513
39037	18725.0	22
39039	5275.0	16
39041	255206.0	377
39043	12950.0	21
39045	51800.0	90
39047	4450.0	9
39049	1934645.0	2501
39051	7250.0	14
39053	3500.0	7
39055	131326.0	152
39057	221720.0	292
39059	6300.0	23
39061	2696795.0	3032
39063	33956.0	66
39065	1700.0	4
39067	5750.0	13
39069	2500.0	3
39071	6000.0	14
39073	2600.0	7
39075	8300.0	15
39077	1750.0	6
39079	18000.0	24
39081	14450.0	39
39083	68800.0	95
39085	265925.0	318
39087	21950.0	32
39089	143056.0	178
39091	5300.0	12
39093	147385.0	218
39095	205835.0	309
39097	9500.0	15
39099	95126.0	176
39101	7370.0	16
39103	90967.0	114
39105	250.0	1
39107	7505.0	21
39109	55325.0	89
39111	11075.0	33
39113	878527.0	1154
39115	250.0	1
39117	6000.0	16
39119	46962.0	85
39121	1700.0	7
39123	2925.0	8
39125	15000.0	13
39127	7750.0	12
39129	6300.0	17
39131	2450.0	5
39133	77140.0	100
39135	12950.0	13
39137	1675.0	6
39139	39939.0	70
39141	8362.0	19
39143	14925.0	21
39145	22650.0	53
39147	20210.0	34
39149	5075.0	11
39151	371895.0	448
39153	771289.0	845
39155	76259.0	116
39157	41350.0	92
39159	2000.0	6
39161	5040.0	10
39163	1000.0	1
39165	191863.0	263
39167	14050.0	14
39169	53616.0	96
39171	13200.0	15
39173	49700.0	85
39175	500.0	1
