zoneID	money	freq
40001	1800.0	7
40003	900.0	4
40005	15300.0	14
40007	0	0
40009	7750.0	14
40011	2000.0	6
40013	32750.0	34
40015	4000.0	9
40017	38350.0	68
40019	48100.0	95
40021	24150.0	27
40023	200.0	1
40025	250.0	1
40027	232602.0	392
40029	3000.0	2
40031	86120.0	119
40033	0	0
40035	14750.0	14
40037	44870.0	83
40039	6200.0	14
40041	18300.0	21
40043	3750.0	6
40045	0	0
40047	123300.0	196
40049	2500.0	3
40051	13250.0	31
40053	0	0
40055	1750.0	5
40057	650.0	3
40059	2750.0	4
40061	3250.0	5
40063	0	0
40065	52940.0	138
40067	950.0	3
40069	0	0
40071	72200.0	134
40073	8000.0	18
40075	6150.0	17
40077	5500.0	4
40079	2550.0	7
40081	22300.0	44
40083	5424.0	12
40085	4650.0	23
40087	11750.0	12
40089	400.0	2
40091	4759.0	16
40093	800.0	4
40095	2750.0	7
40097	14350.0	28
40099	11650.0	16
40101	141780.0	241
40103	23400.0	20
40105	1200.0	6
40107	3550.0	7
40109	1909044.0	2673
40111	29225.0	36
40113	21522.0	29
40115	18150.0	21
40117	2200.0	4
40119	45350.0	77
40121	9460.0	17
40123	99115.0	128
40125	39750.0	74
40127	3000.0	4
40129	250.0	1
40131	36774.0	55
40133	13650.0	18
40135	13250.0	28
40137	28450.0	50
40139	23650.0	29
40141	6500.0	9
40143	1082632.0	1569
40145	13100.0	24
40147	44250.0	83
40149	2870.0	6
40151	850.0	3
40153	13850.0	39
