zoneID	money	freq
72001	1500.0	2
72003	8600.0	14
72005	4500.0	11
72007	1900.0	4
72009	300.0	1
72011	600.0	2
72013	10400.0	11
72015	500.0	1
72017	500.0	1
72019	240.0	1
72021	71630.0	86
72023	950.0	3
72025	39150.0	65
72027	500.0	1
72029	2040.0	4
72031	71900.0	110
72033	4700.0	6
72035	9350.0	24
72037	4000.0	2
72039	0	0
72041	1400.0	2
72043	1500.0	2
72045	0	0
72047	1250.0	2
72049	0	0
72051	36540.0	45
72053	3300.0	6
72054	400.0	1
72055	0	0
72057	750.0	2
72059	0	0
72061	569865.0	750
72063	6100.0	11
72065	2000.0	2
72067	300.0	1
72069	11875.0	19
72071	1000.0	2
72073	800.0	2
72075	250.0	1
72077	500.0	1
72079	2750.0	3
72081	1500.0	1
72083	0	0
72085	4820.0	6
72087	0	0
72089	1700.0	3
72091	2350.0	5
72093	0	0
72095	0	0
72097	4850.0	7
72099	3690.0	8
72101	0	0
72103	800.0	2
72105	-300.0	1
72107	300.0	1
72109	1050.0	1
72111	3400.0	8
72113	49980.0	90
72115	1000.0	1
72117	2740.0	6
72119	3150.0	4
72121	0	0
72123	300.0	1
72125	1000.0	1
72127	1711878.0	2165
72129	1000.0	1
72131	400.0	1
72133	0	0
72135	7050.0	11
72137	9830.0	13
72139	33015.0	39
72141	3300.0	5
72143	3000.0	2
72145	20200.0	20
72147	2000.0	2
72149	750.0	2
72151	300.0	1
72153	3100.0	6
