zoneID	money	freq
46003	9500.0	12
46005	60699.0	117
46007	10700.0	16
46009	4400.0	10
46011	241674.0	347
46013	299750.0	511
46015	21200.0	20
46017	0	0
46019	1250.0	5
46021	2500.0	3
46023	7500.0	17
46025	4950.0	8
46027	42700.0	83
46029	86045.0	154
46031	800.0	2
46033	15050.0	18
46035	50700.0	90
46037	13050.0	31
46039	13100.0	19
46041	14800.0	27
46043	4400.0	12
46045	9450.0	19
46047	8185.0	22
46049	13550.0	20
46051	39250.0	52
46053	19400.0	25
46055	8900.0	20
46057	4200.0	14
46059	4400.0	12
46061	1000.0	1
46063	2300.0	6
46065	112898.0	259
46067	17895.0	33
46069	2200.0	3
46071	4050.0	14
46073	2700.0	11
46075	5675.0	10
46077	11250.0	29
46079	52400.0	104
46081	76900.0	138
46083	318349.0	493
46085	9000.0	27
46087	4550.0	12
46089	2250.0	3
46091	6300.0	12
46093	40215.0	82
46095	2700.0	8
46097	1550.0	5
46099	1248557.0	1933
46101	14950.0	29
46103	643946.0	934
46105	23250.0	25
46107	25900.0	51
46109	22550.0	29
46111	550.0	2
46113	1000.0	3
46115	7475.0	25
46117	23000.0	48
46119	7300.0	22
46121	4400.0	11
46123	26000.0	61
46125	6750.0	10
46127	161250.0	224
46129	1700.0	3
46135	65500.0	117
46137	1550.0	4
