zoneID	money	freq
51001	10900.0	29
51003	649148.0	870
51005	6500.0	9
51007	0	0
51009	5750.0	19
51011	4250.0	8
51013	3515686.0	5575
51015	8975.0	14
51017	7000.0	9
51019	46000.0	63
51021	2250.0	5
51023	14800.0	17
51025	750.0	3
51027	25900.0	42
51029	6050.0	15
51031	18400.0	24
51033	4000.0	3
51035	6750.0	13
51036	0	0
51037	15600.0	22
51041	190129.0	271
51043	20300.0	27
51045	3750.0	7
51047	15660.0	22
51049	1250.0	2
51051	5544.0	13
51053	450.0	2
51057	3550.0	8
51059	10850428.0	14645
51061	340428.0	393
51063	4250.0	11
51065	8200.0	23
51067	30000.0	57
51069	49506.0	61
51071	1950.0	8
51073	9800.0	12
51075	194165.0	203
51077	2800.0	6
51079	1000.0	4
51081	1800.0	6
51083	50400.0	110
51085	58350.0	91
51087	511183.0	683
51089	6300.0	21
51091	7750.0	8
51093	29150.0	32
51095	53750.0	57
51097	1636.0	2
51099	21000.0	16
51101	6850.0	12
51103	63450.0	107
51105	8950.0	27
51107	460645.0	656
51109	16750.0	17
51111	500.0	2
51113	10200.0	10
51115	3500.0	8
51117	12850.0	25
51119	2500.0	2
51121	51750.0	117
51125	22526.0	49
51127	450.0	2
51131	3700.0	8
51133	3500.0	4
51135	500.0	2
51137	4500.0	13
51139	3380.0	8
51141	9750.0	19
51143	40900.0	53
51145	11500.0	12
51147	9750.0	31
51149	3750.0	7
51153	284710.0	440
51155	19000.0	27
51157	9800.0	23
51159	0	0
51161	63375.0	94
51163	11250.0	19
51165	16153.0	27
51167	7950.0	19
51169	10350.0	26
51171	34450.0	56
51173	10149.0	24
51175	750.0	3
51177	52435.0	86
51179	46668.0	81
51181	6121.0	10
51183	2500.0	4
51185	25800.0	48
51187	8400.0	15
51191	240743.0	312
51193	0	0
51195	13000.0	32
51197	11653.0	26
51199	40500.0	56
51510	3720517.0	5329
51515	3750.0	5
51520	17849.0	33
51530	2700.0	11
51540	17450.0	30
51550	212577.0	327
51560	0	0
51570	2900.0	6
51580	0	0
51590	37210.0	49
51595	0	0
51600	1950.0	4
51610	207679.0	310
51620	2500.0	5
51630	32523.0	55
51640	7550.0	16
51650	68578.0	120
51660	56250.0	40
51670	6750.0	12
51678	0	0
51680	68950.0	117
51683	100086.0	127
51685	11750.0	20
51690	29575.0	63
51700	99818.0	153
51710	321285.0	516
51720	3750.0	5
51730	26728.0	46
51735	8850.0	14
51740	30300.0	54
51750	24450.0	28
51760	545921.0	686
51770	204012.0	284
51775	29050.0	42
51790	6750.0	13
51800	66697.0	91
51810	856436.0	1171
51820	5550.0	5
51830	61000.0	100
51840	49543.0	78
