zoneID	money	freq
53001	4250.0	6
53003	3000.0	3
53005	298652.0	409
53007	26050.0	32
53009	36980.0	68
53011	192155.0	327
53013	0	0
53015	15335.0	40
53017	3252.0	11
53019	1200.0	5
53021	34300.0	54
53023	0	0
53025	3750.0	8
53027	22667.0	41
53029	80750.0	185
53031	44401.0	86
53033	5748612.0	9515
53035	252501.0	470
53037	5350.0	15
53039	11378.0	23
53041	7333.0	17
53043	4540.0	10
53045	19773.0	45
53047	48300.0	77
53049	19150.0	35
53051	8300.0	6
53053	364375.0	646
53055	90500.0	141
53057	63587.0	107
53059	0	0
53061	387719.0	705
53063	635687.0	577
53065	24040.0	30
53067	162315.0	294
53069	0	0
53071	9150.0	25
53073	109950.0	192
53075	17500.0	54
53077	33718.0	72
