zoneID	money	freq
53001	29550.0	59
53003	17900.0	36
53005	169425.0	267
53007	67300.0	116
53009	15800.0	43
53011	188471.0	234
53013	6500.0	16
53015	18350.0	27
53017	3500.0	6
53019	5614.0	11
53021	84455.0	116
53023	600.0	3
53025	41387.0	66
53027	9500.0	13
53029	51292.0	94
53031	13400.0	42
53033	3606968.0	5485
53035	165889.0	240
53037	6850.0	19
53039	27350.0	41
53041	35968.0	57
53043	29000.0	71
53045	4500.0	6
53047	35988.0	57
53049	500.0	1
53051	20746.0	40
53053	282339.0	424
53055	33678.0	50
53057	46149.0	90
53059	2500.0	3
53061	352538.0	548
53063	1435252.0	2487
53065	63914.0	128
53067	88723.0	174
53069	4900.0	6
53071	74607.0	136
53073	92870.0	129
53075	76280.0	146
53077	137855.0	231
