zoneID	money	freq
19001	550.0	2
19003	3550.0	6
19005	3950.0	7
19007	2035.0	9
19009	4500.0	7
19011	1000.0	1
19013	65295.0	138
19015	5800.0	13
19017	6900.0	22
19019	1250.0	3
19021	3000.0	8
19023	1500.0	3
19025	0	0
19027	28650.0	35
19029	650.0	2
19031	5900.0	15
19033	15750.0	23
19035	2900.0	9
19037	1300.0	4
19039	5160.0	14
19041	5600.0	11
19043	5000.0	5
19045	9166.0	19
19047	750.0	2
19049	17700.0	42
19051	0	0
19053	6700.0	16
19055	1250.0	4
19057	13950.0	33
19059	6400.0	12
19061	128187.0	260
19063	2750.0	4
19065	1850.0	5
19067	250.0	1
19069	950.0	4
19071	300.0	1
19073	3500.0	8
19075	1000.0	2
19077	1150.0	3
19079	500.0	2
19081	0	0
19083	9150.0	34
19085	800.0	2
19087	2600.0	3
19089	4000.0	10
19091	0	0
19093	3600.0	10
19095	1950.0	5
19097	24600.0	69
19099	13300.0	28
19101	8310.0	23
19103	170835.0	408
19105	3000.0	6
19107	1750.0	6
19109	750.0	2
19111	8025.0	15
19113	126434.0	257
19115	0	0
19117	0	0
19119	200.0	1
19121	5050.0	17
19123	8400.0	20
19125	2550.0	7
19127	5200.0	15
19129	750.0	3
19131	1500.0	5
19133	250.0	1
19135	0	0
19137	1500.0	3
19139	1450.0	6
19141	0	0
19143	0	0
19145	13838.0	51
19147	500.0	1
19149	250.0	1
19151	600.0	2
19153	773819.0	1075
19155	35500.0	55
19157	14500.0	31
19159	1500.0	3
19161	800.0	3
19163	79141.0	159
19165	0	0
19167	7650.0	6
19169	184093.0	311
19171	1900.0	5
19173	3200.0	5
19175	7238.0	10
19177	300.0	1
19179	4700.0	19
19181	27973.0	52
19183	4090.0	13
19185	0	0
19187	8300.0	18
19189	0	0
19191	9389.0	27
19193	31200.0	43
19195	200.0	1
19197	500.0	1
