zoneID	money	freq
19001	0	0
19003	0	0
19005	5150.0	10
19007	1500.0	5
19009	200.0	1
19011	1450.0	6
19013	150883.0	238
19015	11200.0	20
19017	70475.0	99
19019	4850.0	10
19021	12850.0	13
19023	20450.0	40
19025	2850.0	11
19027	1200.0	4
19029	5950.0	8
19031	13975.0	33
19033	54263.0	106
19035	2000.0	5
19037	5950.0	14
19039	2539.0	7
19041	750.0	3
19043	750.0	3
19045	22800.0	43
19047	8200.0	15
19049	62620.0	112
19051	950.0	3
19053	400.0	1
19055	6400.0	10
19057	8950.0	19
19059	6950.0	17
19061	113125.0	175
19063	2000.0	2
19065	13050.0	16
19067	13450.0	23
19069	27350.0	43
19071	250.0	1
19073	3210.0	10
19075	15575.0	17
19077	6600.0	19
19079	9000.0	17
19081	6650.0	11
19083	20500.0	19
19085	2500.0	4
19087	3425.0	12
19089	7500.0	9
19091	4200.0	7
19093	1000.0	4
19095	20950.0	23
19097	500.0	2
19099	9958.0	25
19101	2650.0	11
19103	135394.0	275
19105	2000.0	4
19107	800.0	3
19109	1750.0	7
19111	6500.0	20
19113	150172.0	318
19115	3425.0	11
19117	500.0	3
19119	1000.0	3
19121	250.0	1
19123	58800.0	43
19125	11400.0	17
19127	9100.0	30
19129	1500.0	5
19131	750.0	3
19133	1000.0	3
19135	7450.0	9
19137	0	0
19139	61160.0	119
19141	6300.0	5
19143	0	0
19145	3700.0	4
19147	5950.0	10
19149	8300.0	13
19151	200.0	1
19153	873598.0	1292
19155	9565.0	22
19157	26850.0	27
19159	1200.0	2
19161	7250.0	14
19163	488513.0	641
19165	1250.0	2
19167	1800.0	5
19169	63644.0	99
19171	12450.0	11
19173	0	0
19175	250.0	1
19177	250.0	1
19179	7587.0	27
19181	80400.0	57
19183	7950.0	18
19185	250.0	1
19187	23350.0	43
19189	2250.0	8
19191	9750.0	25
19193	32225.0	57
19195	450.0	2
19197	18650.0	33
