zoneID	money	freq
19001	550.0	2
19003	3550.0	6
19005	9100.0	17
19007	3535.0	14
19009	4700.0	8
19011	2450.0	7
19013	216178.0	376
19015	17000.0	33
19017	77375.0	121
19019	6100.0	13
19021	15850.0	21
19023	21950.0	43
19025	2850.0	11
19027	30150.0	40
19029	6600.0	10
19031	19875.0	48
19033	70013.0	129
19035	4900.0	14
19037	7750.0	20
19039	7699.0	21
19041	6350.0	14
19043	5750.0	8
19045	31966.0	62
19047	9450.0	18
19049	80320.0	154
19051	950.0	3
19053	7100.0	17
19055	7650.0	14
19057	22900.0	52
19059	13350.0	29
19061	241312.0	435
19063	4750.0	6
19065	14900.0	21
19067	13700.0	24
19069	28300.0	47
19071	550.0	2
19073	6710.0	18
19075	16575.0	19
19077	7750.0	22
19079	9500.0	19
19081	6650.0	11
19083	29650.0	53
19085	3500.0	7
19087	6025.0	15
19089	11500.0	19
19091	4200.0	7
19093	4800.0	15
19095	22900.0	28
19097	25100.0	71
19099	23258.0	53
19101	10960.0	34
19103	308229.0	688
19105	5000.0	10
19107	2550.0	9
19109	2500.0	9
19111	14925.0	37
19113	276606.0	575
19115	3425.0	11
19117	500.0	3
19119	1200.0	4
19121	5300.0	18
19123	67200.0	63
19125	13950.0	24
19127	14300.0	45
19129	2250.0	8
19131	2250.0	8
19133	1250.0	4
19135	7450.0	9
19137	1500.0	3
19139	62610.0	125
19141	6300.0	5
19143	0	0
19145	17788.0	56
19147	6450.0	11
19149	9550.0	15
19151	800.0	3
19153	1657517.0	2375
19155	45065.0	77
19157	41350.0	58
19159	2700.0	5
19161	8050.0	17
19163	567904.0	801
19165	1250.0	2
19167	16950.0	17
19169	248137.0	412
19171	14350.0	16
19173	3200.0	5
19175	7488.0	11
19177	550.0	2
19179	12287.0	46
19181	108373.0	109
19183	12040.0	31
19185	250.0	1
19187	31650.0	61
19189	2250.0	8
19191	19139.0	52
19193	67925.0	106
19195	650.0	3
19197	19150.0	34
