zoneID	money	freq
27001	750.0	2
27003	162394.0	288
27005	28350.0	34
27007	2700.0	10
27009	10850.0	22
27011	1650.0	5
27013	56630.0	133
27015	17600.0	15
27017	7650.0	7
27019	60757.0	111
27021	2500.0	4
27023	500.0	1
27025	12805.0	27
27027	10220.0	25
27029	3000.0	7
27031	17600.0	29
27033	5250.0	5
27035	18375.0	33
27037	461273.0	749
27039	0	0
27041	6475.0	16
27043	850.0	2
27045	12742.0	19
27047	1245.0	5
27049	27485.0	43
27051	1551.0	7
27053	5232200.0	8204
27055	2700.0	6
27057	5700.0	6
27059	250.0	1
27061	4400.0	5
27063	0	0
27065	2750.0	7
27067	19250.0	26
27069	200.0	1
27071	0	0
27073	0	0
27075	650.0	4
27077	550.0	2
27079	1500.0	3
27081	4650.0	5
27083	1700.0	6
27085	5700.0	12
27087	950.0	3
27089	3500.0	11
27091	7410.0	8
27093	3350.0	6
27095	60725.0	53
27097	1750.0	4
27099	4350.0	13
27101	250.0	1
27103	32710.0	58
27105	1525.0	6
27107	4800.0	14
27109	82629.0	180
27111	18105.0	32
27113	2700.0	10
27115	14550.0	16
27117	0	0
27119	3800.0	11
27121	500.0	2
27123	1164234.0	2218
27125	0	0
27127	0	0
27129	8250.0	5
27131	30998.0	76
27133	750.0	2
27135	2050.0	7
27137	76674.0	173
27139	99305.0	114
27141	20050.0	54
27143	0	0
27145	56285.0	117
27147	4700.0	9
27149	1450.0	6
27151	1300.0	3
27153	3650.0	10
27155	400.0	1
27157	3250.0	10
27159	300.0	1
27161	1250.0	4
27163	327577.0	592
27165	200.0	1
27167	1750.0	7
27169	13105.0	27
27171	26079.0	55
27173	17100.0	28
