zoneID	money	freq
30001	3750.0	5
30003	750.0	3
30005	1400.0	3
30007	500.0	1
30009	11350.0	19
30011	0	0
30013	139508.0	279
30015	35996.0	78
30017	7050.0	17
30019	1200.0	4
30021	3820.0	10
30023	12000.0	23
30025	250.0	1
30027	10900.0	26
30029	198600.0	298
30031	214162.0	369
30033	0	0
30035	9750.0	11
30037	500.0	2
30039	1200.0	2
30041	25250.0	70
30043	9350.0	16
30045	650.0	3
30047	63476.0	105
30049	391083.0	706
30051	6900.0	18
30053	1300.0	6
30055	2000.0	3
30057	7160.0	17
30059	200.0	1
30061	250.0	1
30063	401066.0	733
30065	1950.0	12
30067	68960.0	107
30069	0	0
30071	950.0	3
30073	2000.0	7
30075	0	0
30077	6450.0	8
30079	0	0
30081	32508.0	67
30083	1600.0	9
30085	750.0	3
30087	10375.0	25
30089	8050.0	20
30091	2000.0	6
30093	29016.0	69
30095	5250.0	18
30097	25150.0	36
30099	17010.0	25
30101	650.0	3
30103	0	0
30105	5050.0	13
30107	1100.0	3
30109	0	0
30111	239735.0	458
