zoneID	money	freq
35001	1323507.0	1927
35003	0	0
35005	157310.0	220
35006	9300.0	13
35007	18000.0	26
35009	47426.0	65
35011	600.0	3
35013	139136.0	191
35015	178756.0	195
35017	6300.0	19
35019	1000.0	1
35021	0	0
35023	0	0
35025	168601.0	244
35027	31228.0	63
35028	30549.0	60
35029	2650.0	7
35031	9300.0	18
35033	500.0	1
35035	35414.0	54
35037	700.0	2
35039	21200.0	14
35041	21505.0	30
35043	135743.0	195
35045	431153.0	431
35047	1750.0	7
35049	261541.0	338
35051	11650.0	19
35053	25550.0	44
35055	1800.0	6
35057	7050.0	19
35059	2600.0	7
35061	30150.0	42
