zoneID	money	freq
41001	7650.0	15
41003	98255.0	188
41005	732247.0	704
41007	22949.0	49
41009	16800.0	27
41011	32600.0	46
41013	17660.0	31
41015	9240.0	10
41017	100537.0	158
41019	386601.0	384
41021	1400.0	5
41023	7386.0	6
41025	4550.0	9
41027	28625.0	41
41029	91619.0	209
41031	25650.0	27
41033	75225.0	71
41035	58310.0	125
41037	800.0	4
41039	360295.0	653
41041	52538.0	71
41043	23600.0	30
41045	5600.0	12
41047	137761.0	227
41049	1975.0	8
41051	1612009.0	2070
41053	36181.0	44
41055	1000.0	2
41057	2600.0	8
41059	37765.0	65
41061	10573.0	21
41063	3250.0	13
41065	18300.0	46
41067	532820.0	656
41069	200.0	1
41071	111291.0	147
