zoneID	money	freq
51001	11200.0	24
51003	551358.0	791
51005	7500.0	19
51007	3250.0	5
51009	4050.0	7
51011	5500.0	13
51013	2440566.0	3557
51015	17490.0	33
51017	3750.0	4
51019	68030.0	97
51021	3500.0	4
51023	23350.0	37
51025	3700.0	11
51027	10750.0	17
51029	16050.0	30
51031	9100.0	15
51033	14000.0	25
51035	5651.0	11
51036	1750.0	4
51037	10535.0	24
51041	286674.0	403
51043	25657.0	52
51045	450.0	2
51047	38400.0	62
51049	750.0	2
51051	250.0	1
51053	3500.0	7
51057	3000.0	10
51059	8875279.0	11383
51061	230773.0	301
51063	2250.0	3
51065	21479.0	34
51067	46130.0	83
51069	45697.0	79
51071	1550.0	4
51073	15300.0	19
51075	230630.0	233
51077	6232.0	8
51079	5450.0	12
51081	9361.0	22
51083	45850.0	89
51085	117550.0	151
51087	536610.0	706
51089	5200.0	13
51091	2650.0	4
51093	32250.0	47
51095	22885.0	58
51097	3300.0	3
51099	1950.0	6
51101	14046.0	22
51103	62690.0	96
51105	18550.0	23
51107	580835.0	827
51109	27300.0	41
51111	550.0	2
51113	8150.0	13
51115	3050.0	6
51117	20475.0	50
51119	1450.0	6
51121	65440.0	89
51125	11900.0	21
51127	700.0	2
51131	4050.0	7
51133	9035.0	14
51135	6750.0	9
51137	11550.0	31
51139	23300.0	43
51141	200.0	1
51143	42318.0	80
51145	31250.0	35
51147	35350.0	94
51149	7650.0	14
51153	264627.0	386
51155	2250.0	2
51157	13300.0	28
51159	500.0	1
51161	74050.0	109
51163	41180.0	68
51165	38650.0	69
51167	2650.0	5
51169	9200.0	8
51171	26150.0	57
51173	1205.0	4
51175	1150.0	4
51177	88635.0	135
51179	149727.0	204
51181	2600.0	5
51183	7200.0	7
51185	15735.0	28
51187	4400.0	13
51191	130646.0	156
51193	3925.0	11
51195	11250.0	27
51197	4850.0	9
51199	41600.0	66
51510	2511623.0	3598
51515	5000.0	9
51520	10100.0	15
51530	0	0
51540	19450.0	37
51550	187501.0	241
51560	0	0
51570	3250.0	7
51580	0	0
51590	42250.0	73
51595	0	0
51600	750.0	3
51610	131011.0	187
51620	3000.0	5
51630	71467.0	121
51640	7000.0	12
51650	50600.0	96
51660	59125.0	73
51670	5600.0	9
51678	0	0
51680	91100.0	159
51683	106741.0	123
51685	14450.0	28
51690	63239.0	103
51700	105050.0	138
51710	306882.0	433
51720	2500.0	3
51730	21200.0	41
51735	2800.0	6
51740	27615.0	48
51750	25450.0	26
51760	618349.0	706
51770	234014.0	297
51775	56950.0	75
51790	19550.0	28
51800	56270.0	85
51810	990030.0	1185
51820	3325.0	11
51830	99895.0	157
51840	67090.0	133
