zoneID	money	freq
54001	1050.0	3
54003	86248.0	148
54005	6800.0	14
54007	21800.0	34
54009	17000.0	18
54011	193000.0	191
54013	9050.0	7
54015	15482.0	25
54017	3500.0	4
54019	27200.0	45
54021	39650.0	47
54023	16650.0	14
54025	48750.0	80
54027	12350.0	14
54029	80869.0	117
54031	11300.0	18
54033	227795.0	295
54035	30518.0	32
54037	91533.0	148
54039	1445887.0	1458
54041	24450.0	23
54043	31450.0	33
54045	28850.0	22
54047	3964.0	7
54049	182530.0	193
54051	20050.0	42
54053	15100.0	25
54055	80321.0	77
54057	23350.0	26
54059	48185.0	43
54061	835317.0	888
54063	5448.0	9
54065	29800.0	40
54067	45050.0	50
54069	274363.0	479
54071	20100.0	22
54073	0	0
54075	1600.0	5
54077	50695.0	46
54079	112338.0	109
54081	243285.0	218
54083	32750.0	47
54085	12500.0	9
54087	16325.0	34
54089	2650.0	7
54091	21600.0	16
54093	3550.0	7
54095	2500.0	2
54097	26400.0	29
54099	16000.0	17
54101	4000.0	6
54103	1950.0	4
54105	0	0
54107	107315.0	142
54109	500.0	2
