zoneID	money	freq
16001	1078438.0	976
16003	250.0	1
16005	14500.0	21
16007	0	0
16009	1700.0	3
16011	700.0	3
16013	184216.0	268
16015	0	0
16017	31582.0	39
16019	72300.0	73
16021	500.0	1
16023	0	0
16025	0	0
16027	13149.0	37
16029	0	0
16031	1300.0	3
16033	0	0
16035	0	0
16037	15950.0	11
16039	250.0	1
16041	250.0	1
16043	2000.0	3
16045	1200.0	5
16047	1000.0	2
16049	1600.0	5
16051	200.0	1
16053	250.0	1
16055	52757.0	95
16057	20950.0	39
16059	250.0	1
16061	0	0
16063	1700.0	8
16065	1000.0	4
16067	0	0
16069	14508.0	35
16071	0	0
16073	0	0
16075	27016.0	50
16077	280.0	1
16079	2000.0	3
16081	21550.0	28
16083	9950.0	27
16085	20041.0	28
16087	1200.0	3
