zoneID	money	freq
17001	124704.0	172
17003	2100.0	4
17005	3056.0	9
17007	52090.0	80
17009	4700.0	9
17011	49851.0	55
17013	300.0	1
17015	7200.0	11
17017	9000.0	21
17019	236966.0	457
17021	22542.0	42
17023	1000.0	1
17025	6700.0	13
17027	15050.0	34
17029	10261.0	15
17031	25216092.0	30348
17033	700.0	3
17035	2200.0	2
17037	86340.0	162
17039	4101.0	13
17041	5200.0	12
17043	4326503.0	5607
17045	7000.0	11
17047	200.0	1
17049	44463.0	68
17051	23350.0	35
17053	812.0	2
17055	46575.0	62
17057	14110.0	34
17059	5400.0	12
17061	35346.0	84
17063	52225.0	69
17065	15700.0	23
17067	2000.0	8
17069	250.0	1
17071	5550.0	5
17073	29260.0	39
17075	21787.0	31
17077	26345.0	57
17079	1000.0	3
17081	48376.0	67
17083	2950.0	9
17085	19025.0	31
17087	4200.0	11
17089	2786669.0	1705
17091	201596.0	232
17093	133608.0	191
17095	16219.0	32
17097	6047989.0	6849
17099	111225.0	93
17101	6050.0	6
17103	17816.0	27
17105	7846.0	19
17107	36100.0	58
17109	18475.0	36
17111	402528.0	452
17113	194322.0	308
17115	105029.0	190
17117	9850.0	21
17119	500163.0	565
17121	10950.0	22
17123	24657.0	41
17125	1500.0	5
17127	1450.0	6
17129	5775.0	13
17131	250.0	1
17133	32100.0	37
17135	17699.0	30
17137	29570.0	69
17139	2050.0	4
17141	35143.0	66
17143	1404091.0	1659
17145	6000.0	14
17147	2450.0	10
17149	8050.0	13
17151	675.0	1
17153	1950.0	8
17155	22641.0	35
17157	12551.0	28
17159	4500.0	10
17161	71178.0	152
17163	448792.0	531
17165	15663.0	40
17167	297628.0	553
17169	5200.0	11
17171	1200.0	2
17173	4550.0	13
17175	15534.0	35
17177	25089.0	47
17179	319926.0	381
17181	900.0	3
17183	29650.0	49
17185	1092.0	3
17187	250.0	1
17189	6750.0	11
17191	1000.0	1
17193	12050.0	18
17195	31836.0	51
17197	1307373.0	967
17199	44287.0	60
17201	475412.0	671
17203	118100.0	137
