zoneID	money	freq
29001	4651.0	12
29003	4150.0	11
29005	27450.0	53
29007	19900.0	34
29009	17315.0	24
29011	200.0	1
29013	250.0	1
29015	250.0	1
29017	0	0
29019	164152.0	266
29021	167063.0	194
29023	20718.0	38
29025	5630.0	6
29027	39765.0	82
29029	21150.0	44
29031	109982.0	140
29033	1600.0	4
29035	1000.0	3
29037	27100.0	31
29039	1750.0	6
29041	1600.0	6
29043	18491.0	35
29045	0	0
29047	161628.0	217
29049	32248.0	65
29051	125128.0	171
29053	700.0	3
29055	11419.0	28
29057	250.0	1
29059	201.0	1
29061	0	0
29063	7600.0	22
29065	4650.0	15
29067	1200.0	4
29069	17900.0	43
29071	83925.0	99
29073	7986.0	16
29075	3300.0	4
29077	524758.0	673
29079	8800.0	20
29081	4025.0	11
29083	500.0	1
29085	2779.0	3
29087	6950.0	11
29089	200.0	1
29091	8713.0	20
29093	250.0	1
29095	706465.0	839
29097	111800.0	104
29099	18861.0	44
29101	5165.0	22
29103	3150.0	6
29105	61900.0	43
29107	4200.0	5
29109	2951.0	5
29111	11000.0	15
29113	8150.0	15
29115	4400.0	6
29117	19835.0	33
29119	5101.0	7
29121	5750.0	15
29123	200.0	1
29125	10900.0	7
29127	29028.0	40
29129	450.0	2
29131	54835.0	46
29133	13000.0	23
29135	6381.0	12
29137	6000.0	17
29139	22450.0	15
29141	6500.0	9
29143	7600.0	17
29145	71923.0	69
29147	17272.0	33
29149	0	0
29151	34950.0	29
29153	6250.0	15
29155	9750.0	22
29157	17210.0	32
29159	1000.0	1
29161	18647.0	41
29163	2150.0	6
29165	139801.0	219
29167	9000.0	17
29169	4750.0	7
29171	1000.0	5
29173	1000.0	1
29175	14251.0	22
29177	1000.0	1
29179	800.0	4
29181	1450.0	4
29183	142634.0	193
29185	0	0
29186	3132.0	6
29187	14450.0	20
29189	2075695.0	1944
29195	1700.0	4
29197	0	0
29199	2550.0	5
29201	43350.0	69
29203	1250.0	4
29205	4800.0	11
29207	19630.0	31
29209	31050.0	33
29211	469.0	2
29213	56300.0	56
29215	5650.0	10
29217	1200.0	3
29219	6800.0	8
29221	1700.0	3
29223	3500.0	7
29225	4500.0	9
29227	750.0	3
29229	1839.0	5
29510	121482.0	119
