zoneID	money	freq
31001	34500.0	56
31003	2150.0	7
31005	0	0
31007	0	0
31009	1400.0	6
31011	1200.0	4
31013	3850.0	6
31015	0	0
31017	0	0
31019	17800.0	27
31021	0	0
31023	0	0
31025	1150.0	4
31027	975.0	5
31029	0	0
31031	5600.0	3
31033	2750.0	8
31035	750.0	3
31037	0	0
31039	500.0	1
31041	3775.0	16
31043	0	0
31045	0	0
31047	3450.0	10
31049	1000.0	4
31051	0	0
31053	3900.0	12
31055	816475.0	1107
31057	1000.0	3
31059	750.0	3
31061	1500.0	6
31063	0	0
31065	1000.0	1
31067	9300.0	33
31069	250.0	1
31071	1600.0	4
31073	0	0
31075	0	0
31077	11200.0	6
31079	14793.0	35
31081	4800.0	11
31083	1500.0	2
31085	0	0
31087	0	0
31089	3000.0	3
31091	1250.0	3
31093	3350.0	7
31095	3750.0	6
31097	0	0
31099	3050.0	5
31101	2250.0	3
31103	0	0
31105	500.0	2
31107	1100.0	5
31109	178263.0	338
31111	25350.0	33
31113	0	0
31115	1450.0	6
31117	0	0
31119	4900.0	11
31121	9750.0	16
31123	3400.0	9
31125	200.0	1
31127	14400.0	11
31129	0	0
31131	250.0	1
31133	1000.0	2
31135	0	0
31137	400.0	2
31139	0	0
31141	73700.0	45
31143	0	0
31145	2750.0	9
31147	1500.0	3
31149	250.0	1
31151	6700.0	21
31153	37480.0	55
31155	5300.0	9
31157	33050.0	72
31159	3250.0	5
31161	0	0
31163	0	0
31165	0	0
31167	0	0
31169	9154.0	16
31171	6250.0	9
31173	250.0	1
31175	250.0	1
31177	6750.0	11
31179	850.0	3
31181	500.0	2
31183	475.0	1
31185	250.0	1
