zoneID	money	freq
40001	7600.0	8
40003	300.0	1
40005	18500.0	17
40007	500.0	1
40009	10100.0	19
40011	2650.0	6
40013	42775.0	52
40015	8000.0	6
40017	33411.0	48
40019	19900.0	31
40021	37800.0	34
40023	250.0	1
40025	200.0	1
40027	242260.0	387
40029	9200.0	10
40031	24100.0	39
40033	0	0
40035	8650.0	11
40037	16610.0	31
40039	3400.0	12
40041	12450.0	19
40043	0	0
40045	0	0
40047	21400.0	23
40049	7511.0	18
40051	6550.0	11
40053	12156.0	28
40055	0	0
40057	1200.0	5
40059	300.0	1
40061	2350.0	5
40063	1000.0	2
40065	7825.0	16
40067	0	0
40069	450.0	2
40071	8594.0	14
40073	4250.0	5
40075	250.0	1
40077	1500.0	2
40079	31250.0	32
40081	8050.0	10
40083	4250.0	8
40085	500.0	2
40087	9250.0	15
40089	4450.0	8
40091	9050.0	9
40093	0	0
40095	3500.0	5
40097	5500.0	6
40099	1000.0	3
40101	47825.0	82
40103	1000.0	4
40105	1500.0	3
40107	1750.0	3
40109	937565.0	1335
40111	18150.0	26
40113	28000.0	40
40115	14450.0	17
40117	2950.0	7
40119	28250.0	52
40121	22178.0	47
40123	165250.0	84
40125	25400.0	43
40127	10260.0	11
40129	0	0
40131	15540.0	31
40133	20800.0	32
40135	6600.0	12
40137	49254.0	69
40139	0	0
40141	1000.0	1
40143	820681.0	1168
40145	9970.0	24
40147	8050.0	23
40149	500.0	1
40151	6650.0	15
40153	2200.0	6
