zoneID	money	freq
41001	3638.0	7
41003	95515.0	245
41005	575882.0	930
41007	41500.0	50
41009	35038.0	42
41011	38162.0	56
41013	2750.0	8
41015	22450.0	22
41017	92315.0	134
41019	117937.0	104
41021	291.0	2
41023	13682.0	8
41025	500.0	1
41027	33760.0	58
41029	230004.0	431
41031	9700.0	9
41033	50461.0	47
41035	7200.0	12
41037	1050.0	3
41039	427048.0	688
41041	46982.0	97
41043	28550.0	28
41045	3000.0	3
41047	142869.0	310
41049	500.0	1
41051	2777854.0	4461
41053	61740.0	96
41055	0	0
41057	9700.0	21
41059	16130.0	26
41061	4300.0	9
41063	600.0	3
41065	11550.0	34
41067	695595.0	1211
41069	250.0	1
41071	79340.0	96
