zoneID	money	freq
41001	9800.0	25
41003	54151.0	81
41005	684853.0	789
41007	45201.0	87
41009	6287.0	17
41011	28092.0	48
41013	11350.0	21
41015	9125.0	16
41017	218890.0	278
41019	67386.0	113
41021	9250.0	20
41023	7649.0	22
41025	7240.0	15
41027	21750.0	45
41029	115291.0	211
41031	10269.0	10
41033	69284.0	86
41035	68621.0	125
41037	2600.0	10
41039	284297.0	384
41041	24700.0	36
41043	32255.0	81
41045	2550.0	9
41047	224619.0	320
41049	1500.0	4
41051	996191.0	1291
41053	47000.0	62
41055	3720.0	10
41057	21250.0	20
41059	116631.0	218
41061	15142.0	27
41063	3468.0	10
41065	16055.0	31
41067	500173.0	708
41069	0	0
41071	102740.0	140
