zoneID	money	freq
72001	0	0
72003	0	0
72005	500.0	1
72007	1450.0	3
72009	250.0	1
72011	2300.0	6
72013	4300.0	4
72015	0	0
72017	500.0	1
72019	0	0
72021	49950.0	61
72023	0	0
72025	11600.0	10
72027	0	0
72029	0	0
72031	16250.0	15
72033	0	0
72035	0	0
72037	0	0
72039	4600.0	2
72041	0	0
72043	0	0
72045	0	0
72047	0	0
72049	0	0
72051	39900.0	28
72053	500.0	1
72054	0	0
72055	0	0
72057	1000.0	1
72059	0	0
72061	68388.0	55
72063	1500.0	2
72065	3300.0	2
72067	0	0
72069	3600.0	3
72071	0	0
72073	0	0
72075	0	0
72077	1000.0	1
72079	0	0
72081	0	0
72083	0	0
72085	1500.0	2
72087	0	0
72089	0	0
72091	12000.0	13
72093	0	0
72095	750.0	2
72097	0	0
72099	0	0
72101	0	0
72103	0	0
72105	0	0
72107	300.0	1
72109	0	0
72111	0	0
72113	11750.0	6
72115	0	0
72117	0	0
72119	2000.0	1
72121	0	0
72123	0	0
72125	0	0
72127	339305.0	290
72129	0	0
72131	0	0
72133	0	0
72135	2500.0	3
72137	7800.0	6
72139	4800.0	4
72141	0	0
72143	1000.0	1
72145	1500.0	2
72147	3800.0	5
72149	0	0
72151	0	0
72153	0	0
