zoneID	money	freq
46003	0	0
46005	12550.0	31
46007	500.0	1
46009	250.0	1
46011	70236.0	126
46013	52575.0	122
46015	25427.0	23
46017	0	0
46019	0	0
46021	1000.0	2
46023	1000.0	3
46025	0	0
46027	17546.0	44
46029	6650.0	21
46031	0	0
46033	1200.0	3
46035	5500.0	17
46037	1700.0	5
46039	2800.0	3
46041	1700.0	3
46043	0	0
46045	1800.0	4
46047	1500.0	5
46049	1250.0	3
46051	2512.0	8
46053	0	0
46055	1250.0	5
46057	500.0	2
46059	800.0	2
46061	400.0	2
46063	0	0
46065	10850.0	27
46067	500.0	2
46069	450.0	2
46071	0	0
46073	1750.0	7
46075	0	0
46077	950.0	4
46079	9200.0	21
46081	7491.0	27
46083	90897.0	123
46085	1300.0	4
46087	200.0	1
46089	0	0
46091	800.0	2
46093	6975.0	12
46095	0	0
46097	400.0	2
46099	255406.0	454
46101	7050.0	7
46103	213937.0	277
46105	0	0
46107	1200.0	3
46109	5600.0	16
46111	700.0	2
46113	0	0
46115	2649.0	9
46117	6300.0	15
46119	700.0	3
46121	0	0
46123	7949.0	18
46125	250.0	1
46127	51100.0	56
46129	1000.0	1
46135	5524.0	17
46137	0	0
