zoneID	money	freq
46003	3200.0	9
46005	26900.0	48
46007	750.0	3
46009	650.0	3
46011	63580.0	94
46013	88564.0	144
46015	2000.0	2
46017	0	0
46019	2151.0	6
46021	0	0
46023	3200.0	9
46025	0	0
46027	5050.0	14
46029	18563.0	34
46031	0	0
46033	25450.0	19
46035	20000.0	38
46037	850.0	3
46039	1150.0	4
46041	10775.0	11
46043	1300.0	2
46045	700.0	2
46047	9500.0	16
46049	9800.0	13
46051	27550.0	32
46053	10636.0	19
46055	5800.0	13
46057	1500.0	5
46059	0	0
46061	0	0
46063	1275.0	3
46065	55504.0	105
46067	3850.0	7
46069	250.0	1
46071	750.0	3
46073	0	0
46075	2575.0	9
46077	3920.0	12
46079	12070.0	29
46081	23000.0	57
46083	210629.0	322
46085	6050.0	19
46087	1650.0	5
46089	4750.0	8
46091	9500.0	10
46093	18660.0	38
46095	0	0
46097	300.0	1
46099	571963.0	786
46101	1000.0	3
46103	360183.0	487
46105	10470.0	18
46107	14050.0	12
46109	0	0
46111	0	0
46113	1000.0	2
46115	1540.0	5
46117	5100.0	15
46119	1450.0	5
46121	2500.0	6
46123	6550.0	17
46125	2200.0	5
46127	155106.0	181
46129	0	0
46135	13550.0	19
46137	2500.0	2
