zoneID	money	freq
47001	131938.0	206
47003	24749.0	32
47005	1300.0	3
47007	4150.0	8
47009	118443.0	175
47011	191109.0	184
47013	21000.0	36
47015	500.0	2
47017	6225.0	13
47019	40218.0	50
47021	12900.0	20
47023	240.0	1
47025	13100.0	14
47027	1500.0	3
47029	18050.0	37
47031	11450.0	16
47033	4200.0	7
47035	16687.0	39
47037	1887058.0	1781
47039	17371.0	16
47041	1950.0	4
47043	29350.0	37
47045	4450.0	10
47047	26569.0	34
47049	4302.0	8
47051	2000.0	5
47053	5550.0	15
47055	15100.0	17
47057	4500.0	7
47059	110637.0	65
47061	1200.0	4
47063	30556.0	64
47065	1623805.0	1345
47067	520.0	2
47069	6300.0	6
47071	2900.0	5
47073	11814.0	28
47075	1000.0	3
47077	7400.0	15
47079	15800.0	18
47081	5401.0	8
47083	0	0
47085	450.0	2
47087	2250.0	3
47089	22014.0	33
47091	8341.0	13
47093	1032749.0	1061
47095	0	0
47097	750.0	2
47099	7051.0	6
47101	1908.0	4
47103	12688.0	18
47105	33850.0	56
47107	23525.0	33
47109	12722.0	19
47111	0	0
47113	29500.0	67
47115	7950.0	10
47117	10107.0	10
47119	28782.0	34
47121	1350.0	5
47123	25110.0	34
47125	40288.0	70
47127	0	0
47129	250.0	1
47131	750.0	2
47133	2000.0	4
47135	400.0	1
47137	250.0	1
47139	10800.0	10
47141	29200.0	35
47143	28150.0	23
47145	19950.0	30
47147	2618.0	5
47149	169915.0	163
47151	23050.0	17
47153	2801.0	3
47155	90783.0	119
47157	1282690.0	1222
47159	19175.0	11
47161	800.0	2
47163	245526.0	278
47165	31401.0	37
47167	11851.0	18
47169	2000.0	2
47171	26082.0	33
47173	17712.0	14
47175	0	0
47177	4500.0	9
47179	427778.0	510
47181	-50.0	1
47183	0	0
47185	7300.0	10
47187	960620.0	988
47189	51110.0	65
